Date,High,Low,Open,Close,returns
2007-06-01,140.0,140.0,140.0,140.0,
2007-07-01,120.0,120.0,120.0,120.0,-14.285713
2007-10-01,98.0,95.0,97.0,97.3,-18.916666
2007-11-01,110.0,90.1,98.0,99.0,1.7471671
2007-12-01,88.0,88.0,88.0,88.0,-11.111111
2008-01-01,80.0,80.0,80.0,80.0,-9.090906
2008-02-01,75.0,75.0,75.0,75.0,-6.25
2008-03-01,75.0,75.0,75.0,75.0,0.0
2008-04-01,68.0,68.0,68.0,68.0,-9.33333
2008-05-01,60.0,60.0,60.0,64.0,-5.882353
2008-06-01,63.0,63.0,63.0,57.0,-10.9375
2008-07-01,67.0,67.0,67.0,67.0,17.543865
2008-08-01,65.0,65.0,65.0,65.0,-2.9850721
2008-09-01,55.0,55.0,55.0,55.0,-15.384615
2008-10-01,46.0,46.0,46.0,46.0,-16.363638
2008-11-01,50.0,42.0,42.0,57.0,23.913038
2008-12-01,57.0,57.0,57.0,57.0,0.0
2009-01-01,57.0,57.0,57.0,57.0,0.0
2009-02-01,52.0,52.0,52.0,52.0,-8.771933
2009-03-01,50.0,50.0,50.0,50.0,-3.8461566
2009-04-01,44.0,44.0,44.0,44.0,-12.0
2009-05-01,48.0,48.0,48.0,49.0,11.363638
2009-06-01,53.0,53.0,53.0,53.0,8.163261
2009-07-01,47.5,47.5,47.5,47.5,-10.377359
2009-08-01,47.0,47.0,47.0,47.0,-1.05263
2009-09-01,42.0,42.0,42.0,42.0,-10.638296
2009-10-01,46.0,46.0,46.0,46.0,9.523809
2009-11-01,45.0,45.0,45.0,45.0,-2.1739125
2009-12-01,44.5,44.5,44.5,44.5,-1.111114
2010-01-01,41.25,41.25,41.25,41.25,-7.303369
2010-02-01,41.0,41.0,41.0,41.0,-0.60606
2010-03-01,41.75,41.75,41.75,41.75,1.8292665
2010-04-01,41.75,41.75,41.75,41.75,0.0
2010-05-01,40.5,40.5,40.5,40.5,-2.9940128
2010-06-01,41.75,41.75,41.75,41.75,3.0864239
2010-07-01,45.5,45.5,45.5,45.5,8.9820385
2010-08-01,45.0,45.0,45.0,45.0,-1.098901
2010-09-01,47.75,46.5,46.5,46.5,3.3333302
2010-10-01,52.0,52.0,52.0,52.0,11.827957
2010-11-01,53.0,61.0,61.0,61.0,17.307686
2010-12-01,62.1,62.1,62.1,62.1,1.8032789
2011-01-01,72.0,72.0,72.0,72.0,15.942038
2011-02-01,67.5,67.5,67.5,67.5,-6.25
2011-03-01,59.0,59.0,59.0,59.0,-12.59259
2011-04-01,55.25,55.25,55.25,55.25,-6.3559294
2011-05-01,56.5,55.0,55.0,57.5,4.072404
2011-06-01,51.65,51.65,51.65,51.65,-10.173911
2011-07-01,51.85,51.85,51.85,51.85,0.3872156
2011-08-01,49.15,49.15,49.15,49.15,-5.207324
2011-09-01,52.05,52.05,52.05,52.05,5.9002995
2011-10-01,52.0,52.0,52.0,52.0,-0.096058846
2011-11-01,52.75,51.75,51.75,51.75,-0.48077106
2011-12-01,52.25,52.25,52.25,52.25,0.9661794
2012-01-01,52.25,52.25,52.25,52.25,0.0
2012-02-01,52.05,52.05,52.05,52.05,-0.38277507
2012-03-01,50.75,50.75,50.75,50.75,-2.4975955
2012-04-01,51.75,51.75,51.75,51.75,1.9704461
2012-05-01,51.5,51.0,51.25,51.0,-1.449275
2012-06-01,50.75,50.75,50.75,50.75,-0.49019456
2012-07-01,49.5,49.5,49.5,49.5,-2.4630547
2012-08-01,48.0,48.0,48.0,48.0,-3.0303001
2012-09-01,45.65,45.65,45.65,45.65,-4.89583
2012-10-01,41.5,41.5,41.5,41.5,-9.090912
2012-11-01,42.25,42.25,42.25,42.25,1.8072248
2012-12-01,43.15,43.15,43.15,43.15,2.1301866
2013-01-01,43.75,43.75,43.75,43.75,1.3904929
2013-02-01,42.0,42.0,42.0,42.0,-4.000002
2013-03-01,42.4,42.4,42.4,42.4,0.95238686
2013-04-01,40.5,40.5,40.5,40.5,-4.481137
2013-05-01,40.5,40.5,40.5,40.5,0.0
2013-06-01,39.75,39.75,39.75,39.75,-1.8518507
2013-07-01,35.0,35.0,35.0,35.0,-11.949688
2013-08-01,36.0,34.0,34.0,34.0,-2.8571427
2013-09-01,35.25,35.25,35.25,35.25,3.676474
2013-10-01,34.5,34.5,34.5,34.5,-2.1276593
2013-11-01,36.5,36.25,36.25,36.25,5.0724626
2013-12-01,34.4,34.4,34.4,34.4,-5.103445
2014-01-01,35.8,35.8,35.8,35.8,4.0697575
2014-02-01,35.45,35.45,35.45,35.45,-0.9776473
2014-03-01,34.0,34.0,34.0,34.0,-4.090267
2014-04-01,30.5,30.5,30.5,30.5,-10.294115
2014-05-01,28.25,28.25,28.25,28.25,-7.3770466
2014-06-01,28.25,28.25,28.25,28.25,0.0
2014-07-01,28.75,28.75,28.75,28.75,1.7699122
2014-08-01,32.75,32.75,32.75,32.75,13.913048
2014-09-01,35.3,35.3,35.3,35.3,7.786262
2014-10-01,36.0,36.0,36.0,36.5,3.3994317
2014-11-01,37.6,37.6,37.6,40.25,10.27397
2014-12-01,35.25,35.25,35.25,35.25,-12.422359
2015-01-01,37.25,37.25,37.25,37.25,5.673754
2015-02-01,38.75,38.75,38.75,38.75,4.026842
2015-03-01,39.5,39.5,39.5,39.5,1.935482
2015-04-01,37.0,37.0,37.0,37.0,-6.329113
2015-05-01,35.1,35.1,35.1,35.1,-5.1351366
2015-06-01,35.75,35.75,35.75,35.75,1.8518567
2015-07-01,35.3,35.3,35.3,35.3,-1.2587428
2015-08-01,36.9,36.9,36.9,36.9,4.5325875
2015-09-01,36.65,36.65,36.65,36.65,-0.6775081
2015-10-01,35.4,35.4,35.4,35.4,-3.4106433
2015-11-01,36.1,36.1,36.1,36.1,1.977396
2015-12-01,34.45,34.45,34.45,34.45,-4.570633
2016-01-01,34.7,34.7,34.7,34.7,0.72568655
2016-02-01,32.15,32.15,32.15,32.15,-7.3486986
2016-03-01,28.15,28.15,28.15,28.15,-12.441683
2016-04-01,27.65,27.65,27.65,27.65,-1.7762005
2016-05-01,27.25,27.25,27.25,27.25,-1.4466524
2016-06-01,26.4,26.4,26.4,26.4,-3.119266
2016-07-01,26.0,26.0,26.0,26.0,-1.5151501
2016-08-01,25.25,25.25,25.25,25.25,-2.8846145
2016-09-01,22.4,22.4,22.4,22.4,-11.287128
2016-10-01,18.75,18.75,18.75,18.75,-16.29464
2016-11-01,17.75,17.75,17.75,17.75,-5.333334
2016-12-01,20.4,20.4,20.4,20.4,14.929581
2017-01-01,24.65,24.65,24.65,24.65,20.833338
2017-02-01,23.0,23.0,23.0,23.0,-6.693709
2017-03-01,23.25,23.25,23.25,23.25,1.0869622
2017-04-01,24.3,24.3,21.5,22.75,-2.1505356
2017-05-01,24.3,24.3,21.5,19.75,-13.186812
2017-06-01,20.5,20.5,20.5,20.5,3.7974715
2017-07-01,20.05,20.05,20.05,20.05,-2.1951258
2017-08-01,20.15,20.15,20.15,20.15,0.49875975
