Date,High,Low,Open,Close,returns
2008-01-06,88.0,88.0,88.0,88.0,
2008-01-13,88.0,88.0,88.0,88.0,0.0
2008-01-20,88.0,88.0,88.0,88.0,0.0
2008-01-27,80.0,80.0,80.0,80.0,-9.090906
2008-02-03,80.0,80.0,80.0,80.0,0.0
2008-02-10,80.0,80.0,80.0,80.0,0.0
2008-02-17,80.0,80.0,80.0,80.0,0.0
2008-02-24,75.0,75.0,75.0,75.0,-6.25
2008-03-02,75.0,75.0,75.0,75.0,0.0
2008-03-09,75.0,75.0,75.0,75.0,0.0
2008-03-16,75.0,75.0,75.0,75.0,0.0
2008-03-23,75.0,75.0,75.0,75.0,0.0
2008-03-30,75.0,75.0,75.0,75.0,0.0
2008-04-06,75.0,75.0,75.0,75.0,0.0
2008-04-13,71.0,71.0,71.0,71.0,-5.333334
2008-04-20,68.0,68.0,68.0,68.0,-4.2253494
2008-04-27,68.0,68.0,68.0,68.0,0.0
2008-05-04,60.0,60.0,60.0,64.0,-5.882353
2008-05-11,62.0,62.0,62.0,62.0,-3.125
2008-05-18,62.0,62.0,62.0,62.0,0.0
2008-05-25,64.0,64.0,64.0,64.0,3.2258034
2008-06-01,63.0,63.0,63.0,63.0,-1.5625
2008-06-08,63.0,63.0,63.0,60.0,-4.7619047
2008-06-15,62.0,62.0,62.0,62.0,3.3333302
2008-06-22,57.0,57.0,57.0,57.0,-8.064514
2008-06-29,57.0,57.0,57.0,57.0,0.0
2008-07-06,61.0,61.0,61.0,61.0,7.017541
2008-07-13,66.0,66.0,66.0,66.0,8.196724
2008-07-20,66.0,66.0,66.0,66.0,0.0
2008-07-27,67.0,67.0,67.0,67.0,1.5151501
2008-08-03,67.0,67.0,67.0,67.0,0.0
2008-08-10,67.0,67.0,67.0,67.0,0.0
2008-08-17,67.0,67.0,67.0,67.0,0.0
2008-08-24,65.0,65.0,65.0,65.0,-2.9850721
2008-08-31,65.0,65.0,65.0,65.0,0.0
2008-09-07,61.0,61.0,61.0,61.0,-6.153846
