"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"01.09.2024","2.005,50","2.062,00","2.073,00","1.948,00","","-2,31%"
"01.08.2024","2.053,00","2.107,50","2.128,00","1.918,50","","-1,46%"
"01.07.2024","2.083,50","2.227,00","2.243,00","2.032,00","479,61K","-6,32%"
"01.06.2024","2.224,00","2.285,00","2.279,00","2.150,00","389,81K","-2,16%"
"01.05.2024","2.273,00","2.191,00","2.341,00","2.189,00","399,76K","2,53%"
"01.04.2024","2.217,00","2.039,00","2.230,00","2.035,00","526,77K","7,88%"
"01.03.2024","2.055,00","2.058,00","2.160,00","2.005,00","470,49K","-0,19%"
"01.02.2024","2.059,00","2.152,00","2.152,00","2.011,00","392,87K","-4,61%"
"01.01.2024","2.158,50","2.067,00","2.171,00","2.044,00","430,08K","4,35%"
"01.12.2023","2.068,50","2.129,00","2.123,00","2.026,50","373,58K","-2,57%"
"01.11.2023","2.123,00","2.108,00","2.284,00","2.106,00","502,50K","1,82%"
"01.10.2023","2.085,00","2.173,00","2.173,00","2.045,00","399,08K","-3,96%"
"01.09.2023","2.171,00","2.270,00","2.270,00","2.158,00","397,18K","-2,12%"
"01.08.2023","2.218,00","2.160,00","2.202,00","2.103,00","369,51K","3,21%"
"01.07.2023","2.149,00","2.083,00","2.174,00","2.031,00","301,08K","2,36%"
"01.06.2023","2.099,50","1.992,00","2.163,00","1.991,00","373,65K","4,32%"
"01.05.2023","2.012,50","2.160,00","2.157,00","2.030,00","305,26K","-6,31%"
"01.04.2023","2.148,00","2.130,00","2.163,00","2.098,00","254,01K","1,95%"
"01.03.2023","2.107,00","2.135,00","2.151,00","2.062,00","285,05K","0,14%"
"01.02.2023","2.104,00","2.160,00","2.159,00","2.044,00","264,41K","-1,52%"
"01.01.2023","2.136,50","2.268,00","2.285,00","2.068,00","380,56K","-6,83%"
"01.12.2022","2.293,00","2.172,00","2.282,00","2.144,00","232,06K","4,56%"
"01.11.2022","2.193,00","1.995,00","2.218,00","1.965,00","273,35K","11,15%"
"01.10.2022","1.973,00","1.870,00","2.051,00","1.868,00","320,33K","3,41%"
"01.09.2022","1.908,00","1.922,00","1.963,00","1.767,00","240,25K","-2,15%"
"01.08.2022","1.950,00","2.055,00","2.192,00","1.950,00","245,77K","-4,15%"
"01.07.2022","2.034,50","1.910,50","2.022,00","1.873,50","226,89K","6,66%"
"01.06.2022","1.907,50","2.160,00","2.234,00","1.901,00","219,62K","-12,58%"
"01.05.2022","2.182,00","2.262,00","2.307,00","2.045,00","215,78K","-3,47%"
"01.04.2022","2.260,50","2.440,00","2.443,00","2.274,00","159,62K","-6,44%"
"01.03.2022","2.416,00","2.408,00","2.533,00","2.246,00","268,03K","1,21%"
"01.02.2022","2.387,00","2.245,00","2.392,00","2.192,00","247,68K","6,35%"
"01.01.2022","2.244,50","2.295,00","2.381,00","2.275,00","194,69K","-2,58%"
"01.12.2021","2.304,00","2.295,00","2.320,00","2.214,50","194,41K","1,25%"
"01.11.2021","2.275,50","2.390,00","2.388,00","2.221,00","204,05K","-4,55%"
"01.10.2021","2.384,00","2.127,00","2.434,00","2.126,00","257,46K","13,93%"
"01.09.2021","2.092,50","2.270,00","2.323,00","2.078,00","272,89K","-7,25%"
"01.08.2021","2.256,00","2.383,25","2.412,25","2.241,75","238,50K","-5,29%"
"01.07.2021","2.382,00","2.269,75","2.403,25","2.230,75","285,23K","4,75%"
"01.06.2021","2.274,00","2.203,00","2.343,50","2.116,50","237,36K","3,67%"
"01.05.2021","2.193,50","2.143,25","2.258,75","2.115,75","207,26K","1,93%"
"01.04.2021","2.152,00","1.976,75","2.154,75","1.937,75","177,71K","8,99%"
"01.03.2021","1.974,50","2.070,50","2.089,25","1.908,25","207,01K","-3,80%"
"01.02.2021","2.052,50","2.029,50","2.184,00","2.001,50","165,54K","1,41%"
"01.01.2021","2.024,00","1.992,00","2.084,50","1.959,75","180,38K","1,50%"
"01.12.2020","1.994,00","2.070,50","2.114,50","1.929,50","167,14K","-3,67%"
"01.11.2020","2.070,00","1.810,75","2.137,00","1.776,75","230,18K","13,74%"
"01.10.2020","1.820,00","1.822,00","1.850,75","1.750,25","224,13K","-0,25%"
"01.09.2020","1.824,50","1.982,75","2.013,75","1.815,25","231,53K","-7,50%"
"01.08.2020","1.972,50","1.872,75","2.025,25","1.836,00","202,21K","4,95%"
"01.07.2020","1.879,50","1.778,50","1.885,75","1.759,25","307,25K","5,95%"
"01.06.2020","1.774,00","1.664,50","1.814,50","1.647,00","932,05K","6,01%"
"01.05.2020","1.673,50","1.632,25","1.702,75","1.592,50","816,44K","2,32%"
"01.04.2020","1.635,50","1.742,50","1.749,50","1.593,25","796,24K","-6,09%"
"01.03.2020","1.741,50","1.870,00","1.865,00","1.619,50","1,16M","-5,76%"
"01.02.2020","1.848,00","1.862,00","1.898,00","1.795,50","1,03M","-1,65%"
