"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"15.09.2024","2.014,00","2.041,50","2.064,00","2.008,00","","-1,44%"
"08.09.2024","2.043,50","1.970,50","2.051,50","1.948,00","","4,10%"
"01.09.2024","1.963,00","2.062,00","2.073,00","1.964,00","","-4,38%"
"25.08.2024","2.053,00","2.112,00","2.128,00","2.035,00","","-3,02%"
"18.08.2024","2.117,00","2.046,00","2.124,50","2.021,00","","3,95%"
"11.08.2024","2.036,50","2.040,00","2.083,00","1.985,00","","-0,07%"
"04.08.2024","2.038,00","2.029,50","2.049,00","1.918,50","","0,74%"
"28.07.2024","2.023,00","2.081,00","2.114,50","2.021,00","","-2,15%"
"21.07.2024","2.067,50","2.103,00","2.095,00","2.032,00","117,61K","-2,84%"
"14.07.2024","2.128,00","2.194,00","2.215,00","2.146,00","92,65K","-3,71%"
"07.07.2024","2.210,00","2.246,00","2.243,00","2.182,00","73,76K","-1,21%"
"30.06.2024","2.237,00","2.227,00","2.236,00","2.210,00","62,73K","0,58%"
"23.06.2024","2.224,00","2.190,00","2.212,00","2.163,00","64,44K","1,51%"
"16.06.2024","2.191,00","2.150,00","2.238,00","2.150,00","111,81K","2,41%"
"09.06.2024","2.139,50","2.195,00","2.187,00","2.158,00","74,48K","-2,73%"
"02.06.2024","2.199,50","2.285,00","2.279,00","2.226,50","75,10K","-3,23%"
"26.05.2024","2.273,00","2.342,00","2.341,00","2.284,00","52,18K","-1,09%"
"19.05.2024","2.298,00","2.337,00","2.341,00","2.280,00","96,51K","0,63%"
"12.05.2024","2.283,50","2.236,00","2.285,00","2.236,00","104,92K","2,74%"
"05.05.2024","2.222,50","2.244,00","2.238,00","2.217,00","71,79K","0,34%"
"28.04.2024","2.215,00","2.213,00","2.220,00","2.189,00","79,15K","0,34%"
"21.04.2024","2.207,50","2.185,00","2.230,00","2.145,50","96,10K","-0,50%"
"14.04.2024","2.218,50","2.175,00","2.190,00","2.160,00","130,97K","1,93%"
"07.04.2024","2.176,50","2.140,00","2.177,00","2.136,50","148,47K","2,50%"
"31.03.2024","2.123,50","2.039,00","2.117,00","2.035,00","114,97K","3,33%"
"24.03.2024","2.055,00","2.030,00","2.030,00","2.005,00","105,27K","0,91%"
"17.03.2024","2.036,50","2.123,00","2.123,00","2.033,00","122,45K","-4,37%"
"10.03.2024","2.129,50","2.118,00","2.160,00","2.118,00","116,78K","1,19%"
"03.03.2024","2.104,50","2.040,00","2.126,00","2.037,50","103,37K","3,44%"
"25.02.2024","2.034,50","2.094,00","2.103,00","2.058,00","90,11K","-2,91%"
"18.02.2024","2.095,50","2.045,00","2.085,00","2.040,00","76,40K","1,53%"
"11.02.2024","2.064,00","2.050,00","2.053,00","2.011,00","118,35K","1,57%"
"04.02.2024","2.032,00","2.130,00","2.125,00","2.045,50","94,90K","-5,27%"
"28.01.2024","2.145,00","2.167,00","2.169,00","2.140,00","88,39K","-0,88%"
"21.01.2024","2.164,00","2.102,00","2.171,00","2.099,50","143,98K","2,78%"
"14.01.2024","2.105,50","2.104,00","2.107,00","2.060,00","103,88K","0,69%"
"07.01.2024","2.091,00","2.065,00","2.118,00","2.061,00","71,20K","0,72%"
"31.12.2023","2.076,00","2.067,00","2.066,50","2.044,00","58,37K","0,36%"
"24.12.2023","2.068,50","2.080,00","2.082,50","2.068,00","32,37K","0,27%"
