"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2024","72,500.00","72,500.00","74,000.00","71,000.00","","0.00%"
"09/12/2024","72,500.00","72,500.00","74,000.00","71,000.00","","1.40%"
"09/11/2024","71,500.00","71,500.00","73,000.00","70,000.00","","0.00%"
"09/10/2024","71,500.00","71,500.00","73,000.00","70,000.00","","0.00%"
"09/09/2024","71,500.00","71,500.00","73,000.00","70,000.00","","-1.38%"
"09/06/2024","72,500.00","72,500.00","74,000.00","71,000.00","","-2.03%"
"09/05/2024","74,000.00","74,000.00","75,500.00","72,500.00","","-1.33%"
"09/04/2024","75,000.00","75,000.00","76,500.00","73,500.00","","0.00%"
"09/03/2024","75,000.00","75,000.00","76,500.00","73,500.00","","0.00%"
"09/02/2024","75,000.00","75,000.00","76,500.00","73,500.00","","0.00%"
"08/30/2024","75,000.00","75,000.00","76,500.00","73,500.00","","0.67%"
"08/29/2024","74,500.00","74,500.00","76,000.00","73,000.00","","0.68%"
"08/28/2024","74,000.00","74,000.00","75,500.00","72,500.00","","0.00%"
"08/27/2024","74,000.00","74,000.00","75,500.00","72,500.00","","0.00%"
"08/26/2024","74,000.00","74,000.00","75,500.00","72,500.00","","0.00%"
"08/23/2024","74,000.00","74,000.00","75,500.00","72,500.00","","-0.67%"
"08/22/2024","74,500.00","74,500.00","76,000.00","73,000.00","","1.36%"
"08/21/2024","73,500.00","73,500.00","75,000.00","72,000.00","","0.00%"
"08/20/2024","73,500.00","73,500.00","75,000.00","72,000.00","","0.00%"
"08/19/2024","73,500.00","73,500.00","75,000.00","72,000.00","","0.00%"
"08/16/2024","73,500.00","73,500.00","75,000.00","72,000.00","","-1.34%"
"08/15/2024","74,500.00","74,500.00","76,000.00","73,000.00","","-2.61%"
"08/14/2024","76,500.00","76,500.00","78,000.00","75,000.00","","0.00%"
"08/13/2024","76,500.00","76,500.00","78,000.00","75,000.00","","0.00%"
"08/12/2024","76,500.00","76,500.00","78,000.00","75,000.00","","-1.29%"
"08/09/2024","77,500.00","77,500.00","79,000.00","76,000.00","","-1.27%"
"08/08/2024","78,500.00","78,500.00","80,000.00","77,000.00","","-1.26%"
"08/07/2024","79,500.00","79,500.00","81,000.00","78,000.00","","0.00%"
"08/06/2024","79,500.00","79,500.00","81,000.00","78,000.00","","0.00%"
"08/05/2024","79,500.00","79,500.00","81,000.00","78,000.00","","0.00%"
"08/02/2024","79,500.00","79,500.00","81,000.00","78,000.00","","-2.45%"
"08/01/2024","81,500.00","81,500.00","83,000.00","80,000.00","","0.00%"
"07/31/2024","81,500.00","81,500.00","83,000.00","80,000.00","","-2.40%"
"07/30/2024","83,500.00","83,500.00","85,000.00","82,000.00","","-2.34%"
"07/29/2024","85,500.00","85,500.00","87,000.00","84,000.00","","0.00%"
"07/26/2024","85,500.00","85,500.00","87,000.00","84,000.00","","0.00%"
"07/25/2024","85,500.00","85,500.00","87,000.00","84,000.00","","0.00%"
"07/24/2024","85,500.00","85,500.00","87,000.00","84,000.00","","0.00%"
"07/23/2024","85,500.00","85,500.00","87,000.00","84,000.00","","0.00%"
"07/22/2024","85,500.00","85,500.00","87,000.00","84,000.00","","0.00%"
"07/19/2024","85,500.00","85,500.00","87,000.00","84,000.00","","0.00%"
"07/18/2024","85,500.00","85,500.00","87,000.00","84,000.00","","-1.16%"
"07/17/2024","86,500.00","86,500.00","88,000.00","85,000.00","","0.00%"
"07/16/2024","86,500.00","86,500.00","88,000.00","85,000.00","","-2.26%"
"07/15/2024","88,500.00","88,500.00","90,000.00","87,000.00","","-2.21%"
"07/12/2024","90,500.00","90,500.00","92,000.00","89,000.00","","0.00%"
"07/11/2024","90,500.00","90,500.00","92,000.00","89,000.00","","0.00%"
"07/10/2024","90,500.00","90,500.00","92,000.00","89,000.00","","0.00%"
"07/09/2024","90,500.00","90,500.00","92,000.00","89,000.00","","0.00%"
"07/08/2024","90,500.00","90,500.00","92,000.00","89,000.00","","-1.09%"
"07/05/2024","91,500.00","91,500.00","93,000.00","90,000.00","","0.00%"
"07/04/2024","91,500.00","91,500.00","93,000.00","90,000.00","","0.00%"
"07/03/2024","91,500.00","91,500.00","93,000.00","90,000.00","","0.00%"
"07/02/2024","91,500.00","91,500.00","93,000.00","90,000.00","","0.00%"
"07/01/2024","91,500.00","91,500.00","93,000.00","90,000.00","","0.00%"
"06/28/2024","91,500.00","91,500.00","93,000.00","90,000.00","","0.00%"
"06/27/2024","91,500.00","91,500.00","93,000.00","90,000.00","","0.00%"
"06/26/2024","91,500.00","91,500.00","93,000.00","90,000.00","","0.00%"
"06/25/2024","91,500.00","91,500.00","93,000.00","90,000.00","","0.00%"
"06/24/2024","91,500.00","91,500.00","93,000.00","90,000.00","","-2.14%"
"06/21/2024","93,500.00","93,500.00","95,000.00","92,000.00","","-1.06%"
"06/20/2024","94,500.00","94,500.00","96,000.00","93,000.00","","-1.05%"
"06/19/2024","95,500.00","95,500.00","97,000.00","94,000.00","","-1.04%"
"06/18/2024","96,500.00","96,500.00","98,000.00","95,000.00","","-1.03%"
"06/17/2024","97,500.00","97,500.00","99,000.00","96,000.00","","0.00%"
"06/14/2024","97,500.00","97,500.00","99,000.00","96,000.00","","0.00%"
"06/13/2024","97,500.00","97,500.00","99,000.00","96,000.00","","0.00%"
"06/12/2024","97,500.00","97,500.00","99,000.00","96,000.00","","-2.99%"
"06/11/2024","100,500.00","100,500.00","102,000.00","99,000.00","","-0.99%"
"06/07/2024","101,500.00","101,500.00","103,000.00","100,000.00","","0.00%"
"06/06/2024","101,500.00","101,500.00","103,000.00","100,000.00","","0.00%"
"06/05/2024","101,500.00","101,500.00","103,000.00","100,000.00","","-1.46%"
"06/04/2024","103,000.00","103,000.00","104,500.00","101,500.00","","-0.48%"
"06/03/2024","103,500.00","103,500.00","105,000.00","102,000.00","","-1.90%"
"05/31/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/30/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/29/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/28/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/27/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/24/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/23/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/22/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/21/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/20/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/17/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/16/2024","105,500.00","105,500.00","107,000.00","104,000.00","","0.00%"
"05/15/2024","105,500.00","105,500.00","107,000.00","104,000.00","","-2.76%"
"05/14/2024","108,500.00","108,500.00","110,000.00","107,000.00","","0.00%"
"05/13/2024","108,500.00","108,500.00","110,000.00","107,000.00","","-0.91%"
"05/10/2024","109,500.00","109,500.00","111,000.00","108,000.00","","-0.90%"
"05/09/2024","110,500.00","110,500.00","112,000.00","109,000.00","","0.00%"
"05/08/2024","110,500.00","110,500.00","112,000.00","109,000.00","","0.00%"
