"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"01.09.2024","1.115,28","965,00","1.126,03","896,75","5,68K","15,93%"
"01.08.2024","962,00","918,25","991,28","814,03","93,42K","3,98%"
"01.07.2024","925,20","1.013,00","1.047,00","868,00","10,44K","-5,30%"
"01.06.2024","977,00","903,00","988,00","875,00","0,15K","7,88%"
"01.05.2024","905,60","952,50","1.048,00","900,50","117,10K","-4,95%"
"01.04.2024","952,80","1.018,00","1.093,50","936,50","10,84K","-6,73%"
"01.03.2024","1.021,50","1.019,50","1.030,50","973,00","6,60K","8,51%"
"01.02.2024","941,40","983,00","999,50","851,50","105,64K","-5,56%"
"01.01.2024","996,80","1.079,00","1.079,00","943,50","6,19K","-9,83%"
"01.12.2023","1.105,50","1.016,50","1.260,00","927,50","1,86K","8,34%"
"01.11.2023","1.020,40","1.132,03","1.149,78","949,50","3,97K","-9,39%"
"01.10.2023","1.126,10","1.251,75","1.259,53","1.088,00","","-10,34%"
"01.09.2023","1.256,00","1.224,50","1.299,00","1.221,00","3,65K","2,51%"
"01.08.2023","1.225,20","1.241,50","1.269,00","1.215,00","0,03K","-3,95%"
"01.07.2023","1.275,60","1.225,00","1.324,50","1.187,53","","4,39%"
"01.06.2023","1.222,00","1.336,00","1.385,00","1.214,00","1,88K","-10,08%"
"01.05.2023","1.359,00","1.510,00","1.635,00","1.351,00","26,39K","-9,16%"
"01.04.2023","1.496,03","1.457,53","1.648,50","1.402,00","1,78K","1,19%"
"01.03.2023","1.478,50","1.411,00","1.532,00","1.333,00","40,55K","4,05%"
"01.02.2023","1.420,90","1.648,00","1.712,00","1.389,50","31,16K","-14,80%"
"01.01.2023","1.667,70","1.812,00","1.837,00","1.605,00","3,61K","-7,69%"
"01.12.2022","1.806,70","1.889,00","2.003,00","1.640,50","39,32K","-3,18%"
"01.11.2022","1.866,00","1.868,00","2.125,50","1.774,00","23,46K","1,18%"
"01.10.2022","1.844,30","2.194,00","2.348,50","1.823,00","2,31K","-15,70%"
"01.09.2022","2.187,80","2.083,00","2.280,00","1.943,00","28,59K","5,24%"
"01.08.2022","2.078,90","2.139,00","2.305,00","1.961,50","16,22K","-3,15%"
"01.07.2022","2.146,50","1.950,00","2.186,50","1.837,00","1,89K","11,58%"
"01.06.2022","1.923,80","1.992,50","2.065,00","1.765,00","24,67K","-4,11%"
"01.05.2022","2.006,30","2.317,50","2.317,50","1.867,50","15,10K","-13,43%"
"01.04.2022","2.317,60","2.289,50","2.525,00","2.085,50","1,88K","2,77%"
"01.03.2022","2.255,10","2.488,50","3.425,00","2.025,50","48,41K","-9,96%"
"01.02.2022","2.504,60","2.329,00","2.553,00","2.175,50","23,69K","6,26%"
"01.01.2022","2.357,00","1.880,00","2.446,50","1.820,00","2,44K","23,22%"
"01.12.2021","1.912,90","1.725,50","2.020,50","1.531,00","34,38K","12,16%"
"01.11.2021","1.705,50","1.990,50","2.219,00","1.696,50","25,02K","-13,97%"
"01.10.2021","1.982,50","1.902,00","2.204,50","1.835,50","3,17K","4,23%"
"01.09.2021","1.902,10","2.465,00","2.495,50","1.827,50","43,45K","-23,02%"
"01.08.2021","2.471,00","2.679,00","2.711,50","2.270,00","20,14K","-7,20%"
"01.07.2021","2.662,70","2.760,00","2.879,50","2.580,00","1,65K","-4,27%"
"01.06.2021","2.781,50","2.828,50","2.875,50","2.452,00","28,63K","-1,72%"
"01.05.2021","2.830,10","2.952,00","3.010,00","2.733,00","20,31K","-4,38%"
"01.04.2021","2.959,60","2.630,00","2.996,00","2.615,00","2,63K","13,07%"
"01.03.2021","2.617,50","2.311,50","2.749,00","2.263,50","42,11K","13,14%"
"01.02.2021","2.313,50","2.243,00","2.491,00","2.217,50","23,48K","4,24%"
"01.01.2021","2.219,30","2.465,00","2.483,00","2.205,00","2,06K","-9,77%"
"01.12.2020","2.459,70","2.389,40","2.476,50","2.228,00","29,63K","2,24%"
"01.11.2020","2.405,90","2.225,90","2.529,70","2.211,30","16,71K","7,99%"
"01.10.2020","2.227,80","2.333,50","2.483,00","2.198,10","2,08K","-4,60%"
"01.09.2020","2.335,20","2.268,70","2.454,60","2.184,80","26,49K","2,45%"
"01.08.2020","2.279,30","2.125,00","2.361,30","2.117,80","15,10K","5,63%"
"01.07.2020","2.157,80","1.950,10","2.411,40","1.915,70","3,10K","9,95%"
"01.06.2020","1.962,50","1.938,00","2.060,30","1.830,20","21,08K","-0,53%"
"01.05.2020","1.972,90","1.949,20","2.159,00","1.736,90","11,23K","1,08%"
"01.04.2020","1.951,80","2.122,20","2.220,00","1.771,60","1,76K","-14,76%"
"01.03.2020","2.289,90","2.482,00","2.576,90","1.355,10","71,21K","-8,08%"
"01.02.2020","2.491,10","2.210,30","2.789,80","2.170,60","39,67K","12,16%"
"01.01.2020","2.221,00","1.910,00","2.410,90","1.903,40","11,06K","16,67%"
"01.12.2019","1.903,60","1.812,40","1.974,60","1.785,30","75,77K","5,17%"
"01.11.2019","1.810,10","1.765,00","1.818,00","1.642,00","36,37K","3,44%"
"01.10.2019","1.749,90","1.643,50","1.793,00","1.609,60","7,04K","6,68%"
"01.09.2019","1.640,30","1.534,50","1.660,00","1.514,00","69,17K","6,57%"
"01.08.2019","1.539,20","1.516,80","1.543,20","1.379,80","37,28K","1,04%"
"01.07.2019","1.523,40","1.526,80","1.595,90","1.493,70","4,32K","-0,63%"
"01.06.2019","1.533,00","1.326,60","1.551,90","1.305,00","65,17K","15,13%"
"01.05.2019","1.331,50","1.371,30","1.374,00","1.259,80","39,36K","-3,45%"
"01.04.2019","1.379,10","1.350,00","1.453,10","1.289,60","5,07K","3,49%"
"01.03.2019","1.332,60","1.500,50","1.576,90","1.295,70","87,31K","-11,25%"
"01.02.2019","1.501,50","1.295,50","1.525,80","1.295,50","46,54K","16,45%"
"01.01.2019","1.289,40","1.183,00","1.381,20","1.178,10","7,01K","9,10%"
"01.12.2018","1.181,80","1.150,20","1.210,20","1.135,80","66,54K","3,25%"
"01.11.2018","1.144,60","1.059,80","1.173,30","1.057,00","41,70K","7,78%"
"01.10.2018","1.062,00","1.046,90","1.128,40","1.025,60","6,76K","-0,37%"
"01.09.2018","1.065,90","970,00","1.074,70","942,10","78,17K","9,90%"
"01.08.2018","969,90","923,70","971,80","816,00","44,70K","4,45%"
"01.07.2018","928,60","942,30","957,60","850,60","3,58K","-1,80%"
"01.06.2018","945,60","980,20","1.026,00","925,30","82,86K","-3,68%"
"01.05.2018","981,70","953,65","999,50","932,05","37,52K","2,71%"
"01.04.2018","955,80","944,10","1.039,45","889,80","7,40K","1,83%"
"01.03.2018","938,65","1.036,75","1.038,05","933,00","86,36K","-9,54%"
"01.02.2018","1.037,60","1.023,35","1.057,30","950,20","40,03K","1,91%"
"01.01.2018","1.018,15","1.051,00","1.119,40","1.016,60","6,03K","-3,22%"
"01.12.2017","1.052,05","1.003,40","1.061,00","973,60","65,72K","4,83%"
"01.11.2017","1.003,55","970,90","1.023,80","967,30","47,49K","3,35%"
"01.10.2017","971,00","930,25","993,10","901,00","4,88K","4,16%"
"01.09.2017","932,25","933,35","997,50","898,10","72,82K","0,00%"
"01.08.2017","932,25","876,00","944,35","860,80","49,99K","6,23%"
"01.07.2017","877,55","837,05","886,65","821,50","3,60K","5,65%"
"01.06.2017","830,65","817,25","891,35","809,05","106,53K","1,80%"
"01.05.2017","815,95","826,45","827,00","747,70","52,51K","-1,27%"
"01.04.2017","826,45","798,20","829,25","770,60","4,29K","3,50%"
"01.03.2017","798,50","771,20","815,80","740,70","90,95K","3,47%"
"01.02.2017","771,70","760,10","796,20","746,00","46,83K","2,16%"
"01.01.2017","755,40","698,25","798,05","696,75","3,86K","10,45%"
"01.12.2016","683,95","770,95","776,00","652,15","84,62K","-11,48%"
"01.11.2016","772,65","623,40","775,75","618,85","48,11K","24,64%"
"01.10.2016","619,90","722,00","726,70","613,70","2,73K","-14,25%"
"01.09.2016","722,95","671,05","728,95","651,50","78,32K","7,91%"
"01.08.2016","669,95","714,30","748,00","668,50","53,57K","-5,74%"
"01.07.2016","710,75","600,25","715,95","593,70","1,96K","18,86%"
"01.06.2016","597,95","548,00","599,30","527,45","82,59K","9,24%"
"01.05.2016","547,35","628,25","631,40","523,50","44,74K","-12,93%"
"01.04.2016","628,60","573,80","634,65","536,00","3,46K","11,33%"
"01.03.2016","564,65","494,70","608,15","491,25","89,87K","13,92%"
"01.02.2016","495,65","500,20","532,10","481,00","45,18K","-0,67%"
"01.01.2016","499,00","550,55","551,45","458,60","2,04K","-11,25%"
"01.12.2015","562,25","542,00","574,50","522,55","61,46K","3,51%"
"01.11.2015","543,20","670,70","672,20","526,75","42,44K","-19,84%"
"01.10.2015","677,65","655,35","722,05","653,10","2,27K","4,05%"
"01.09.2015","651,25","599,50","678,00","568,00","78,55K","8,14%"
"01.08.2015","602,25","611,00","625,80","519,20","63,50K","-1,46%"
"01.07.2015","611,15","677,60","702,95","596,20","3,16K","-9,24%"
"01.06.2015","673,35","778,15","779,90","665,00","82,10K","-13,35%"
"01.05.2015","777,10","774,80","804,00","770,70","38,53K","-0,05%"
"01.04.2015","777,50","737,30","786,85","737,10","4,09K","5,62%"
"01.03.2015","736,15","818,80","833,60","724,85","88,31K","-10,17%"
"01.02.2015","819,50","774,35","820,00","764,95","46,66K","5,99%"
"01.01.2015","773,15","795,00","819,80","746,75","3,30K","-3,24%"
"01.12.2014","799,00","812,50","823,00","775,00","67,33K","-1,76%"
"01.11.2014","813,30","791,10","816,10","748,15","58,02K","2,65%"
"01.10.2014","792,30","765,00","809,50","733,45","3,62K","2,16%"
"01.09.2014","775,55","909,55","913,00","770,70","113,60K","-14,73%"
"01.08.2014","909,55","873,05","910,50","839,10","69,46K","4,06%"
"01.07.2014","874,05","844,00","889,75","843,40","4,68K","3,67%"
"01.06.2014","843,10","836,25","864,60","806,35","92,78K","0,81%"
"01.05.2014","836,35","815,00","840,55","796,60","51,22K","2,82%"
"01.04.2014","813,45","771,70","815,80","762,75","4,40K","4,58%"
"01.03.2014","777,80","744,20","802,45","743,50","126,70K","4,48%"
"01.02.2014","744,45","704,45","747,50","698,00","50,50K","5,57%"
"01.01.2014","705,15","720,25","754,90","703,00","6,48K","-2,03%"
"01.12.2013","719,75","719,30","744,90","692,65","64,13K","0,01%"
"01.11.2013","719,65","738,10","766,95","711,10","49,87K","-2,57%"
"01.10.2013","738,65","724,55","754,95","695,00","2,52K","1,38%"
"01.09.2013","728,60","724,45","738,95","682,25","73,87K","0,66%"
"01.08.2013","723,85","733,00","770,50","714,00","49,12K","-0,60%"
"01.07.2013","728,25","674,10","755,00","671,25","1,54K","10,01%"
"01.06.2013","662,00","748,65","772,50","630,80","76,09K","-12,16%"
"01.05.2013","753,65","694,85","767,40","675,90","46,15K","7,71%"
"01.04.2013","699,70","774,00","785,95","650,75","2,85K","-9,09%"
"01.03.2013","769,65","732,90","788,45","713,00","77,44K","4,78%"
"01.02.2013","734,55","743,50","779,20","710,70","59,13K","-1,68%"
"01.01.2013","747,10","710,00","760,00","665,85","3,34K","6,02%"
"01.12.2012","704,65","686,35","710,00","671,35","71,49K","2,39%"
"01.11.2012","688,20","610,00","692,50","599,70","45,13K","13,43%"
"01.10.2012","606,70","643,50","666,10","598,40","0,00K","-5,15%"
"01.09.2012","639,65","626,80","704,30","613,35","0,55K","1,86%"
"01.08.2012","627,95","630,95","635,00","612,00","5,75K","6,48%"
"01.07.2012","589,75","563,70","563,70","561,95","0,01K","1,15%"
"01.06.2012","583,05","605,65","634,10","561,20","0,45K","-4,75%"
"01.05.2012","612,10","594,10","613,55","588,70","12,93K","-10,45%"
"01.04.2012","683,50","652,70","684,80","629,30","","4,65%"
"01.03.2012","653,15","714,55","719,60","644,70","0,37K","-7,57%"
"01.02.2012","706,65","711,20","721,95","700,00","7,73K","3,13%"
"01.01.2012","685,20","656,30","702,00","608,00","","4,51%"
"01.12.2011","655,60","616,05","680,60","605,75","0,40K","7,48%"
"01.11.2011","610,00","662,60","662,60","565,60","6,22K","-6,31%"
"01.10.2011","651,05","539,40","626,00","536,65","0,01K","6,03%"
"01.09.2011","614,05","783,35","788,20","614,50","0,41K","-22,08%"
"01.08.2011","788,10","732,00","794,45","732,00","5,07K","-4,67%"
"01.07.2011","826,70","771,90","783,00","771,90","0,00K","8,86%"
"01.06.2011","759,40","772,00","818,05","720,05","0,77K","-2,51%"
"01.05.2011","778,95","753,50","782,25","751,55","8,60K","-1,64%"
"01.04.2011","791,95","754,05","764,40","750,00","0,00K","3,13%"
"01.03.2011","767,90","798,00","821,90","696,00","0,66K","-3,73%"
"01.02.2011","797,65","775,00","791,75","774,30","10,90K","-2,61%"
"01.01.2011","819,00","748,10","748,10","748,10","0,00K","1,95%"
"01.12.2010","803,30","746,10","788,10","730,00","0,36K","14,60%"
"01.11.2010","700,95","657,15","704,25","657,15","8,67K","7,62%"
"01.10.2010","651,30","565,40","653,60","498,30","","14,01%"
"01.09.2010","571,25","503,75","560,00","503,35","0,57K","14,16%"
"01.08.2010","500,40","503,30","508,00","486,00","4,54K","0,08%"
"01.07.2010","500,00","436,05","477,35","436,05","0,00K","12,51%"
"01.06.2010","444,40","464,00","499,10","421,75","1,50K","-3,78%"
"01.05.2010","461,85","437,75","470,45","434,00","8,76K","-16,75%"
"01.04.2010","554,75","542,95","553,30","542,95","0,00K","16,02%"
"01.03.2010","478,15","433,90","476,95","432,10","0,43K","10,58%"
"01.02.2010","432,40","420,55","433,00","414,50","7,61K","3,82%"
"01.01.2010","416,50","425,00","425,00","425,00","0,00K","2,27%"
"01.12.2009","407,25","378,25","390,45","350,05","0,30K","12,02%"
"01.11.2009","363,55","375,00","375,15","350,00","5,03K","13,04%"
"01.10.2009","321,60","335,80","342,00","315,20","","7,72%"
"01.09.2009","298,55","294,90","306,70","282,60","0,22K","2,31%"
"01.08.2009","291,80","287,35","293,45","283,70","3,50K","18,14%"
"01.06.2009","247,00","237,00","264,00","230,90","0,46K","4,64%"
"01.05.2009","236,05","236,00","237,20","221,00","4,41K","8,23%"
"01.04.2009","218,10","221,00","221,00","221,00","0,00K","-0,32%"
"01.03.2009","218,80","198,25","227,00","189,95","0,59K","12,29%"
"01.02.2009","194,85","213,00","213,00","193,00","3,05K","5,61%"
"01.01.2009","184,50","190,00","192,00","190,00","0,00K","-1,15%"
"01.12.2008","186,65","188,90","188,90","160,00","0,41K","-3,09%"
"01.11.2008","192,60","195,00","199,80","183,30","4,48K","-3,00%"
"01.10.2008","198,55","188,25","197,50","157,75","0,01K","-11,58%"
"01.09.2008","224,55","304,85","304,95","224,75","0,40K","-26,09%"
"01.08.2008","303,80","288,80","303,50","288,50","3,89K","-35,53%"
"01.06.2008","471,20","431,55","475,00","423,00","0,19K","8,32%"
"01.05.2008","435,00","435,00","436,20","424,00","5,77K","-3,87%"
"01.03.2008","452,50","574,85","595,10","437,70","0,32K","-20,88%"
"01.02.2008","571,95","552,55","585,15","537,10","6,02K","56,68%"
"01.12.2007","365,05","343,65","359,50","343,15","0,51K","4,70%"
"01.11.2007","348,65","345,00","353,00","338,00","3,56K","1,97%"
"01.09.2007","341,90","335,00","338,00","330,50","0,37K","2,52%"
"01.08.2007","333,50","330,00","334,30","325,15","4,04K","-8,42%"
"01.06.2007","364,15","370,00","372,60","363,70","0,16K","-1,05%"
"01.05.2007","368,00","367,65","371,00","362,00","8,05K","3,85%"
"01.03.2007","354,35","351,10","353,10","340,00","0,56K","0,93%"
"01.02.2007","351,10","354,45","355,00","345,00","1,80K","7,57%"
"01.12.2006","326,40","325,85","330,15","320,00","0,20K","-0,90%"
"01.11.2006","329,35","324,00","330,15","315,00","6,16K","2,76%"
"01.10.2006","320,50","294,00","294,00","294,00","0,00K","1,36%"
"01.09.2006","316,20","341,00","351,00","302,00","0,32K","-7,87%"
"01.08.2006","343,20","337,00","342,00","330,00","5,96K","10,89%"
"01.06.2006","309,50","330,00","363,00","271,00","0,93K","-10,87%"
"01.05.2006","347,25","349,00","358,00","332,00","11,32K","3,77%"
"01.03.2006","334,65","290,00","345,00","275,50","0,77K","15,68%"
"01.02.2006","289,30","297,00","327,00","267,70","31,08K","-2,58%"
"01.01.2006","296,95","263,45","297,80","262,00","17,68K","13,56%"
"01.12.2005","261,50","255,25","297,10","247,00","1,94K","2,35%"
"01.11.2005","255,50","226,75","270,10","220,00","28,53K","12,48%"
"01.10.2005","227,15","199,00","233,75","192,10","12,89K","13,69%"
"01.09.2005","199,80","181,60","202,50","181,60","2,16K","9,81%"
"01.08.2005","181,95","195,00","197,00","180,10","25,19K","-6,50%"
"01.07.2005","194,60","181,10","205,00","170,20","15,88K","6,95%"
"01.06.2005","181,95","181,50","191,00","180,50","3,02K","-0,27%"
"01.05.2005","182,45","197,90","197,90","180,60","26,40K","-7,81%"
"01.04.2005","197,90","201,00","206,00","194,05","2,71K","1,98%"
"01.03.2005","194,05","182,25","215,00","182,00","0,47K","6,01%"
"01.02.2005","183,05","190,20","193,50","177,00","23,61K","-3,86%"
"01.01.2005","190,40","184,00","195,90","177,50","7,05K","2,78%"
"01.12.2004","185,25","206,00","213,50","178,30","1,85K","-12,04%"
"01.11.2004","210,60","213,60","223,50","208,00","19,43K","-0,75%"
"01.10.2004","212,20","216,00","219,00","211,00","1,76K","-6,04%"
"01.09.2004","225,85","215,00","215,00","205,00","0,35K","5,39%"
"01.08.2004","214,30","219,40","228,50","209,00","15,32K","-1,34%"
"01.07.2004","217,20","214,20","232,40","205,00","6,81K","1,05%"
"01.06.2004","214,95","256,40","256,40","213,00","2,76K","-16,51%"
"01.05.2004","257,45","256,40","270,00","227,00","17,71K","-0,33%"
"01.04.2004","258,30","291,00","344,70","232,00","28,77K","-10,92%"
"01.03.2004","289,95","228,25","293,50","228,25","3,19K","26,53%"
"01.02.2004","229,15","232,00","251,25","222,00","21,12K","-1,04%"
"01.01.2004","231,55","199,00","255,50","198,00","15,37K","17,24%"
