Date,Close,Open,High,Low
16.09.2024,79.5,79.5,79.5,79.5
13.09.2024,79.65,79.65,79.65,79.65
12.09.2024,80.05,80.05,80.05,80.05
11.09.2024,79.65,79.65,79.65,79.65
10.09.2024,79.5,79.5,79.5,79.5
09.09.2024,79.55,79.55,79.55,79.55
06.09.2024,79.95,79.95,79.95,79.95
05.09.2024,79.85,79.85,79.85,79.85
04.09.2024,79.6,79.6,79.6,79.6
03.09.2024,79.6,79.6,79.6,79.6
30.08.2024,79.25,79.25,79.25,79.25
29.08.2024,79.5,79.5,79.5,79.5
28.08.2024,79.25,79.25,79.25,79.25
27.08.2024,78.85,78.85,78.85,78.85
26.08.2024,80.15,80.15,80.15,80.15
23.08.2024,82.4,82.4,82.4,82.4
22.08.2024,79.85,79.85,79.85,79.85
21.08.2024,80.05,80.05,80.05,80.05
20.08.2024,80.6,80.6,80.6,80.6
19.08.2024,81.2,81.2,81.2,81.2
16.08.2024,81.2,81.2,81.2,81.2
15.08.2024,81.25,81.25,81.25,81.25
14.08.2024,81.55,81.55,81.55,81.55
13.08.2024,81.55,81.55,81.55,81.55
12.08.2024,81.5,81.5,81.5,81.5
09.08.2024,81.55,81.55,81.55,81.55
08.08.2024,81.6,81.6,81.6,81.6
07.08.2024,81.7,81.7,81.7,81.7
06.08.2024,81.65,81.65,81.65,81.65
05.08.2024,81.85,81.85,81.85,81.85
02.08.2024,82.6,82.6,82.6,82.6
01.08.2024,85.05,85.05,85.05,85.05
31.07.2024,84.45,84.45,84.45,84.45
30.07.2024,82.60,82.60,82.60,82.60
29.07.2024,82.30,82.30,82.30,82.30
26.07.2024,82.45,82.45,82.45,82.45
25.07.2024,82.25,82.25,82.25,82.25
24.07.2024,82.75,82.75,82.75,82.75
23.07.2024,83.30,83.30,83.30,83.30
22.07.2024,83.45,83.45,83.45,83.45
19.07.2024,84.35,84.35,84.35,84.35
18.07.2024,84.70,84.70,84.70,84.70
17.07.2024,85.20,85.20,85.20,85.20
16.07.2024,85.60,85.60,85.60,85.60
15.07.2024,86.25,86.25,86.25,86.25
12.07.2024,86.15,86.15,86.15,86.15
11.07.2024,86.15,86.15,86.15,86.15
10.07.2024,85.85,85.85,85.85,85.85
09.07.2024,85.65,85.65,85.65,85.65
08.07.2024,85.65,85.65,85.65,85.65
05.07.2024,85.65,85.65,85.65,85.65
03.07.2024,85.65,85.65,85.65,85.65
02.07.2024,85.65,85.65,85.65,85.65
01.07.2024,85.70,85.70,85.70,85.70
28.06.2024,85.75,85.75,85.75,85.75
27.06.2024,84.55,84.55,84.55,84.55
26.06.2024,83.55,83.55,83.55,83.55
25.06.2024,83.20,83.20,83.20,83.20
24.06.2024,83.60,83.60,83.60,83.60
21.06.2024,84.50,84.50,84.50,84.50
20.06.2024,85.05,85.05,85.05,85.05
18.06.2024,86.25,86.25,86.25,86.25
17.06.2024,86.15,86.15,86.15,86.15
14.06.2024,86.65,86.65,86.65,86.65
13.06.2024,86.00,86.00,86.00,86.00
12.06.2024,84.50,84.50,84.50,84.50
