"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"01.09.2024","31.805,00","31.500,00","31.850,00","30.200,00","","-1,67%"
"01.08.2024","32.346,00","29.900,00","32.950,00","28.950,00","","7,62%"
"01.07.2024","30.056,00","33.050,00","35.300,00","28.750,00","53,45K","-8,20%"
"01.06.2024","32.739,00","32.850,00","33.350,00","31.650,00","31,93K","-0,92%"
"01.05.2024","33.042,00","31.100,00","34.795,00","31.050,00","30,87K","5,85%"
"01.04.2024","31.216,00","27.850,00","35.275,00","27.850,00","47,91K","13,72%"
"01.03.2024","27.451,00","26.400,00","28.700,00","26.400,00","37,62K","3,37%"
"01.02.2024","26.556,00","25.960,00","27.650,00","25.150,00","30,24K","1,23%"
"01.01.2024","26.233,00","25.450,00","26.720,00","24.350,00","33,04K","3,22%"
"01.12.2023","25.415,00","23.600,00","25.625,00","23.600,00","32,28K","9,33%"
"01.11.2023","23.246,00","23.900,00","25.320,00","23.275,00","32,10K","-3,46%"
"01.10.2023","24.079,00","24.200,00","25.650,00","24.000,00","26,11K","0,56%"
"01.09.2023","23.944,00","25.900,00","26.410,00","24.450,00","23,29K","-5,72%"
"01.08.2023","25.396,00","27.750,00","27.850,00","24.855,00","30,41K","-11,32%"
"01.07.2023","28.637,00","27.200,00","29.445,00","27.100,00","26,70K","6,91%"
"01.06.2023","26.787,00","25.600,00","27.300,00","25.400,00","27,58K","5,24%"
"01.05.2023","25.454,00","26.500,00","26.850,00","24.050,00","25,78K","-2,43%"
"01.04.2023","26.088,00","25.950,00","27.625,00","23.850,00","27,55K","0,98%"
"01.03.2023","25.835,00","25.900,00","25.950,00","22.250,00","27,87K","3,49%"
"01.02.2023","24.963,00","29.650,00","29.600,00","25.350,00","20,39K","-15,35%"
"01.01.2023","29.490,00","25.400,00","32.095,00","25.125,00","20,86K","18,87%"
"01.12.2022","24.808,00","23.150,00","24.800,00","23.150,00","18,95K","8,23%"
"01.11.2022","22.921,00","18.200,00","24.250,00","17.900,00","28,18K","30,00%"
"01.10.2022","17.631,00","20.400,00","20.275,00","17.700,00","19,17K","-14,55%"
"01.09.2022","20.634,00","21.650,00","21.995,00","19.750,00","20,68K","-9,47%"
"01.08.2022","22.793,00","25.600,00","25.550,00","23.000,00","16,98K","-9,00%"
"01.07.2022","25.047,00","26.500,00","26.700,00","23.350,00","16,09K","-5,31%"
"01.06.2022","26.451,00","35.100,00","36.875,00","24.150,00","19,26K","-23,71%"
"01.05.2022","34.670,00","40.850,00","40.900,00","33.300,00","19,15K","-13,88%"
"01.04.2022","40.259,00","43.800,00","44.500,00","40.000,00","14,09K","-6,18%"
"01.03.2022","42.910,00","45.800,00","49.400,00","41.400,00","24,18K","-5,12%"
"01.02.2022","45.224,00","43.050,00","45.300,00","42.855,00","15,99K","5,12%"
"01.01.2022","43.023,00","38.750,00","43.500,00","38.700,00","16,36K","10,71%"
"01.12.2021","38.860,00","39.075,00","39.600,00","38.200,00","13,67K","-0,41%"
