Date,High,Low,Open,Close,returns
2020-03-22,50.0,46.0,48.5,47.5,
2020-03-29,49.0,45.0,47.5,46.5,-2.1052659
2020-04-05,48.0,45.0,46.5,46.5,0.0
2020-04-12,48.0,44.0,46.5,45.5,-2.1505356
2020-04-19,47.0,44.0,45.5,45.5,0.0
2020-04-26,47.0,43.5,45.5,45.0,-1.098901
2020-05-03,46.5,43.5,45.0,45.0,0.0
2020-05-10,46.0,42.0,44.5,43.5,-3.333336
2020-05-17,45.0,41.0,43.5,42.5,-2.2988498
2020-05-24,44.0,41.0,42.5,42.5,0.0
2020-05-31,44.0,40.5,42.5,42.0,-1.1764705
2020-06-07,43.5,40.0,42.0,41.5,-1.1904776
2020-06-14,43.0,40.0,41.5,41.5,0.0
2020-06-21,42.5,39.0,41.0,40.5,-2.409637
2020-06-28,42.0,39.0,40.5,40.0,-1.2345672
2020-07-05,41.0,39.0,40.0,40.0,0.0
2020-07-12,41.0,39.0,40.0,40.0,0.0
2020-07-19,41.0,39.0,40.0,40.0,0.0
2020-07-26,41.0,38.5,40.0,39.5,-1.2499988
2020-08-02,40.5,38.5,39.5,39.5,0.0
2020-08-09,40.5,38.5,39.5,39.5,0.0
2020-08-16,40.8,38.8,39.8,39.8,0.7594943
2020-08-23,40.8,38.8,39.8,39.8,0.0
2020-08-30,40.8,38.8,39.8,39.8,0.0
2020-09-06,41.0,39.0,40.0,40.0,0.50251484
2020-09-13,41.0,39.0,40.0,40.0,0.0
2020-09-20,41.3,39.0,40.0,40.3,0.7499933
2020-09-27,41.5,39.5,40.5,40.5,0.4962802
2020-10-11,42.0,39.5,40.5,41.0,1.2345672
2020-10-18,42.0,40.0,41.0,41.0,0.0
2020-10-25,42.0,40.0,41.0,41.0,0.0
2020-11-01,43.0,40.0,41.0,42.0,2.439022
2020-11-08,43.5,41.0,42.0,42.5,1.1904716
2020-11-15,45.0,42.0,43.0,44.0,3.5294175
2020-11-22,45.0,43.0,44.0,44.0,0.0
2020-11-29,46.0,43.0,44.0,45.0,2.272725
2020-12-06,47.5,44.5,45.5,46.5,3.3333302
2020-12-13,48.0,45.5,46.5,47.0,1.0752678
2020-12-20,51.0,46.0,47.0,50.0,6.382978
2020-12-27,53.5,50.0,51.0,52.5,4.999995
2021-01-03,58.5,52.0,53.0,57.5,9.523809
2021-01-10,62.0,58.0,59.0,61.0,6.0869575
2021-01-17,69.0,61.8,62.8,68.0,11.475409
2021-01-24,73.0,68.5,69.5,72.0,5.8823586
2021-01-31,73.0,71.0,72.0,72.0,0.0
2021-02-21,82.0,73.0,74.0,81.0,12.5
2021-02-28,85.0,80.5,81.5,84.0,3.7037015
2021-03-07,85.0,83.0,84.0,84.0,0.0
2021-03-14,88.0,83.0,84.0,87.0,3.5714269
2021-03-21,89.0,87.0,88.0,88.0,1.1494279
2021-03-28,90.0,87.0,88.0,89.0,1.1363626
2021-04-04,90.0,88.0,89.0,89.0,0.0
2021-04-11,90.0,88.0,89.0,89.0,0.0
2021-04-18,90.0,88.0,89.0,89.0,0.0
2021-04-25,90.0,88.0,89.0,89.0,0.0
2021-05-02,90.0,88.0,89.0,89.0,0.0
2021-05-09,90.0,88.0,89.0,89.0,0.0
2021-05-16,90.0,88.0,89.0,89.0,0.0
2021-05-23,90.0,88.0,89.0,89.0,0.0
2021-05-30,90.0,87.0,89.0,88.0,-1.1235952
2021-06-06,89.0,87.0,88.0,88.0,0.0
2021-06-13,89.0,87.0,88.0,88.0,0.0
2021-06-20,89.0,86.0,88.0,87.0,-1.1363626
2021-06-27,88.0,86.0,87.0,87.0,0.0
2021-07-04,88.0,86.0,87.0,87.0,0.0
2021-07-11,88.0,86.0,87.0,87.0,0.0
2021-07-18,88.0,86.0,87.0,87.0,0.0
2021-07-25,92.0,88.0,89.0,91.0,4.5976996
2021-08-01,93.0,90.0,91.0,92.0,1.098907
2021-08-08,100.0,93.0,94.0,99.0,7.6087
2021-08-15,106.0,100.0,101.0,105.0,6.0606003
2021-08-22,114.0,106.0,107.0,113.0,7.619047
2021-08-29,126.0,114.0,115.0,125.0,10.619473
2021-09-05,140.0,126.0,127.0,139.0,11.199999
2021-09-12,154.0,141.0,142.0,153.0,10.071945
2021-09-19,166.0,161.0,162.0,165.0,7.843137
2021-09-26,177.0,170.0,171.0,176.0,6.666672
2021-10-10,182.0,177.0,178.0,181.0,2.8409123
2021-10-17,185.0,180.0,181.0,182.5,0.82873106
2021-10-24,195.0,183.0,185.5,192.5,5.479455
2021-10-31,197.0,190.0,192.5,194.5,1.0389566
2021-11-07,198.0,192.0,194.5,195.5,0.51413774
2021-11-14,200.0,193.0,195.5,197.5,1.0230184
2021-11-21,201.0,195.0,197.5,198.5,0.50632954
2021-11-28,207.0,196.0,198.5,204.5,3.0226707
2021-12-05,225.0,202.0,204.5,222.5,8.801961
2021-12-12,238.0,225.0,227.5,235.5,5.8426976
2021-12-19,264.0,240.0,242.5,261.5,11.040342
2021-12-26,280.0,266.0,268.5,277.5,6.118548
2022-01-02,301.0,275.0,277.5,298.5,7.5675726
2022-01-09,330.0,304.0,306.5,327.5,9.715247
2022-01-16,361.0,325.0,327.5,358.5,9.465647
2022-01-23,380.0,365.0,367.5,377.5,5.299866
2022-02-06,395.0,380.0,382.5,392.5,3.973508
2022-02-13,440.0,395.0,397.5,437.5,11.464966
2022-02-20,482.0,445.0,447.5,479.5,9.599996
2022-02-27,496.0,481.0,483.5,493.5,2.9197097
2022-03-06,496.0,491.0,493.5,493.5,0.0
2022-03-13,500.0,491.0,493.5,497.5,0.8105397
2022-03-20,500.0,495.0,497.5,497.5,0.0
2022-03-27,0.0,0.0,0.0,496.5,-0.20100474
2022-04-03,499.0,494.0,496.5,496.5,0.0
2022-04-10,485.0,480.0,482.5,482.5,-2.8197408
2022-04-17,485.0,477.0,482.5,479.5,-0.6217599
2022-04-24,477.0,460.0,474.5,462.5,-3.5453618
2022-05-08,460.0,455.0,457.5,457.5,-1.0810792
2022-05-15,460.0,455.0,457.5,457.5,0.0
2022-05-22,470.0,455.0,457.5,467.5,2.1857977
