Date,Open,High,Low,Close,Adj Close,Volume,returns
1986-08-01,10.0,10.125,8.125,9.125,6.136170864105225,26423200,
1986-09-01,9.1875,9.4375,7.0625,8.5625,5.757913589477539,24114800,-6.164383561643838
1986-10-01,8.6875,9.1875,8.0625,9.0,6.0521135330200195,11801200,5.109489051094895
1986-11-01,8.875,9.25,8.1875,9.0,6.0521135330200195,9452000,0.0
1986-12-01,9.0,9.1875,7.9375,8.1875,5.505741119384766,12063200,-9.027777777777779
1987-01-01,8.1875,10.0625,8.125,9.71875,6.535442352294922,20516400,18.70229007633588
1987-02-01,9.75,11.3125,9.4375,11.0625,7.439058303833008,15010000,13.826366559485525
1987-03-01,11.0625,12.9375,10.6875,12.0,8.069483757019043,20943600,8.47457627118644
1987-04-01,11.75,12.375,9.5,10.625,7.144855499267578,14492800,-11.458333333333337
1987-05-01,10.625,11.25,10.25,10.8125,7.27094030380249,13502400,1.764705882352935
1987-06-01,10.8125,12.25,10.375,11.21875,7.544128894805908,14135600,3.7572254335260125
1987-07-01,11.21875,12.3125,11.125,11.9375,8.027458190917969,17192000,6.406685236768794
1987-08-01,11.875,13.125,11.6875,12.5,8.405715942382812,13851200,4.712041884816753
1987-09-01,12.4375,12.5,10.5625,11.5625,7.775288105010986,14910000,-7.499999999999996
1987-10-01,11.5625,11.8125,6.6875,7.75,5.211540222167969,36328800,-32.97297297297297
1987-11-01,7.75,8.0625,6.4375,6.75,4.539085865020752,18430800,-12.903225806451612
1987-12-01,6.75,8.3125,5.875,8.1875,5.505741119384766,22402800,21.2962962962963
1988-01-01,8.125,9.0,7.75,8.90625,5.989068984985352,13741200,8.778625954198471
1988-02-01,8.9375,10.125,8.75,10.0,6.724569320678711,19825200,12.280701754385959
1988-03-01,10.0,10.0,9.0,9.375,6.304286003112793,17984400,-6.25
1988-04-01,9.25,9.75,8.9375,9.5,6.388344764709473,12283600,1.333333333333342
1988-05-01,9.5625,9.8125,8.875,9.0625,6.094141960144043,11776800,-4.6052631578947345
1988-06-01,9.1875,10.0625,9.0625,9.5625,6.4303693771362305,14892000,5.517241379310356
1988-07-01,9.5,9.5625,8.375,8.8125,5.926029205322266,17592000,-7.843137254901967
1988-08-01,8.8125,9.3125,8.4375,9.21875,6.199213981628418,11145600,4.6099290780141855
1988-09-01,9.1875,9.8125,8.90625,9.6875,6.51442813873291,13489200,5.084745762711873
1988-10-01,9.625,10.5625,9.5,10.0,6.724569320678711,19822800,3.2258064516129004
1988-11-01,9.9375,10.0625,9.125,9.8125,6.598485469818115,10398800,-1.8750000000000044
1988-12-01,9.8125,10.1875,9.375,9.375,6.304286003112793,13875600,-4.458598726114649
1989-01-01,9.375,9.875,8.8125,9.375,6.304286003112793,29280400,0.0
1989-02-01,9.3125,9.4375,8.90625,9.25,6.220231056213379,29131200,-1.3333333333333308
1989-03-01,9.1875,9.46875,8.6875,9.0625,6.094141960144043,22534800,-2.0270270270270285
1989-04-01,9.0,10.5,8.875,10.1875,6.850655555725098,22698000,12.413793103448278
1989-05-01,10.125,11.9375,10.125,11.125,7.481085777282715,36148800,9.202453987730053
1989-06-01,11.125,11.9375,9.8125,10.0,6.724569320678711,34459200,-10.1123595505618
1989-07-01,10.0,11.0,9.8125,10.9375,7.354999542236328,12197600,9.375
1989-08-01,11.0,11.125,10.375,11.125,7.481085777282715,20632800,1.7142857142857126
1989-09-01,11.0625,11.1875,10.4375,10.75,7.228906631469727,15056400,-3.3707865168539297
1989-10-01,10.625,12.125,10.3125,11.03125,7.418038845062256,33341600,2.6162790697674465
1989-11-01,11.0,12.375,10.5,11.6875,7.859341144561768,20432800,5.9490084985835745
1989-12-01,11.75,12.0625,10.4375,11.5625,7.775288105010986,13648400,-1.0695187165775444
1990-01-01,11.625,12.0625,9.4375,9.84375,6.619497776031494,30140000,-14.864864864864868
1990-02-01,9.875,10.0,9.1875,9.5625,6.4303693771362305,29525200,-2.857142857142858
1990-03-01,9.6875,10.4375,9.5,9.6875,6.51442813873291,32876000,1.3071895424836555
1990-04-01,9.4375,9.6875,8.3125,8.5625,5.757913589477539,35638400,-11.612903225806448
1990-05-01,8.625,9.875,8.125,9.59375,6.451385498046875,41484000,12.043795620437958
1990-06-01,9.625,10.5,9.0,10.375,6.976742267608643,29798800,8.143322475570036
1990-07-01,10.3125,11.0,9.5625,10.0,6.724569320678711,21058400,-3.6144578313253017
1990-08-01,9.9375,10.0625,7.5625,8.3125,5.5897979736328125,22927200,-16.874999999999996
1990-09-01,8.25,8.4375,6.9375,7.3125,4.917342185974121,19492000,-12.030075187969924
1990-10-01,7.375,8.1875,6.625,7.8125,5.253570556640625,24150800,6.8376068376068355
1990-11-01,7.8125,9.8125,7.75,9.5625,6.4303693771362305,15894000,22.4
1990-12-01,9.6875,10.0625,9.125,9.8125,6.598485469818115,23303200,2.614379084967311
1991-01-01,9.75,11.15625,9.4375,11.125,7.481085777282715,52237600,13.375796178343947
1991-02-01,11.0625,11.6875,9.875,10.34375,6.955731391906738,46168800,-7.02247191011236
1991-03-01,10.25,11.8125,10.1875,11.6875,7.859341144561768,23923200,12.990936555891231
