Date,Open,High,Low,Close,Adj Close,Volume,returns
1989-11-01,2.515625,2.953125,2.484375,2.890625,1.9084502458572388,7278400,
1989-12-01,2.890625,3.15625,2.875,3.15625,2.0838210582733154,5426400,9.189189189189184
1990-01-01,3.125,3.125,2.578125,2.859375,1.887819528579712,6087200,-9.405940594059404
1990-02-01,2.875,3.125,2.6875,2.796875,1.850669026374817,4242400,-2.1857923497267784
1990-03-01,2.796875,2.9375,2.625,2.921875,1.933377981185913,7839200,4.469273743016755
1990-04-01,2.921875,3.03125,2.59375,2.71875,1.7989739179611206,5945600,-6.951871657754005
1990-05-01,2.71875,3.0,2.6875,2.96875,1.9688200950622559,14355200,9.195402298850585
1990-06-01,2.96875,3.09375,2.796875,2.96875,1.9688200950622559,3932000,0.0
1990-07-01,2.953125,3.0625,2.75,3.0,1.9895449876785278,8556000,1.0526315789473717
1990-08-01,3.03125,3.265625,2.890625,2.921875,1.9420981407165527,6543200,-2.604166666666663
1990-09-01,2.9375,3.765625,2.9375,3.34375,2.222508192062378,9141600,14.438502673796783
1990-10-01,3.328125,3.453125,3.0625,3.375,2.243279457092285,3556000,0.9345794392523255
1990-11-01,3.375,3.546875,2.765625,2.8125,1.8730725049972534,3692800,-16.666666666666664
1990-12-01,2.796875,2.828125,2.484375,2.65625,1.7690112590789795,7594400,-5.555555555555558
1991-01-01,2.625,2.625,2.03125,2.171875,1.446427583694458,9194400,-18.23529411764706
1991-02-01,2.15625,2.78125,2.15625,2.59375,1.732409954071045,10592000,19.424460431654666
1991-03-01,2.59375,2.78125,2.515625,2.515625,1.680229663848877,4989600,-3.0120481927710885
1991-04-01,2.53125,2.640625,2.3125,2.375,1.5863028764724731,7399200,-5.590062111801242
1991-05-01,2.375,2.625,2.28125,2.625,1.7577893733978271,8267200,10.526315789473696
1991-06-01,2.65625,2.6875,2.25,2.25,1.5066770315170288,4651200,-14.28571428571429
1991-07-01,2.25,2.671875,2.203125,2.53125,1.6950113773345947,7780800,12.5
1991-08-01,2.53125,3.0,2.53125,2.921875,1.9619256258010864,6719200,15.432098765432102
1991-09-01,2.890625,3.078125,2.75,2.984375,2.003891944885254,4270400,2.1390374331550888
1991-10-01,2.984375,3.078125,2.75,2.84375,1.9094687700271606,6720800,-4.712041884816753
1991-11-01,2.859375,3.140625,2.609375,2.65625,1.787372350692749,3395200,-6.593406593406592
1991-12-01,2.65625,2.6875,2.40625,2.4375,1.6401768922805786,6508800,-8.235294117647063
1992-01-01,2.421875,2.546875,2.109375,2.25,1.514009714126587,12247200,-7.692307692307687
1992-02-01,2.265625,2.34375,2.078125,2.234375,1.503495693206787,6790400,-0.694444444444442
1992-03-01,2.25,2.734375,2.234375,2.65625,1.787372350692749,8728800,18.881118881118873
1992-04-01,2.65625,3.171875,2.546875,3.046875,2.0502216815948486,8622400,14.705882352941169
1992-05-01,3.03125,3.25,2.6875,3.09375,2.0867319107055664,10916800,1.538461538461533
1992-06-01,3.078125,3.40625,3.078125,3.1875,2.1499648094177246,20593600,3.0303030303030276
1992-07-01,3.21875,3.65625,3.203125,3.640625,2.455597400665283,10363200,14.215686274509798
1992-08-01,3.625,3.984375,3.171875,3.875,2.6186022758483887,28948800,6.4377682403433445
1992-09-01,3.875,4.484375,3.859375,4.15625,2.808661699295044,16194400,7.258064516129026
1992-10-01,4.140625,4.3125,3.71875,3.8125,2.576364517211914,9503200,-8.270676691729328
1992-11-01,3.828125,3.875,3.46875,3.546875,2.400630474090576,13816800,-6.9672131147541005
1992-12-01,3.546875,3.703125,3.421875,3.671875,2.485233783721924,14051200,3.524229074889873
1993-01-01,3.6875,4.0,3.34375,3.96875,2.6861681938171387,14211200,8.085106382978724
1993-02-01,4.0,4.609375,4.0,4.40625,2.988743305206299,20369600,11.023622047244096
1993-03-01,4.4375,5.078125,4.421875,5.015625,3.4020795822143555,15286400,13.829787234042556
1993-04-01,5.03125,5.0625,4.46875,4.921875,3.3384897708892822,9439200,-1.869158878504673
1993-05-01,4.953125,5.328125,4.78125,5.3125,3.609001398086548,10763200,7.9365079365079305
1993-06-01,5.34375,5.625,4.984375,5.09375,3.4603958129882812,12481600,-4.117647058823525
1993-07-01,5.078125,5.34375,4.96875,5.328125,3.619616746902466,9697600,4.601226993865026
1993-08-01,5.328125,6.703125,5.3125,6.28125,4.273292064666748,13799200,17.888563049853378
1993-09-01,6.28125,6.625,5.890625,6.625,4.507152557373047,8352000,5.472636815920406
1993-10-01,6.59375,6.75,5.0,5.34375,3.635485887527466,17476000,-19.339622641509436
1993-11-01,5.359375,5.734375,4.78125,4.828125,3.2884984016418457,11559200,-9.649122807017541
1993-12-01,4.859375,4.953125,4.265625,4.875,3.3204245567321777,9153600,0.9708737864077666
1994-01-01,4.875,5.671875,4.828125,5.515625,3.7567648887634277,25031200,13.141025641025639
1994-02-01,5.546875,5.9375,5.328125,5.375,3.666041374206543,8416000,-2.5495750708215303
1994-03-01,5.40625,5.8125,4.921875,5.34375,3.644723415374756,12719200,-0.5813953488372103
1994-04-01,5.3125,6.015625,5.21875,5.9375,4.04969596862793,13441600,11.111111111111116
1994-05-01,5.90625,6.15625,5.5,5.5,3.7565667629241943,9928000,-7.36842105263158
1994-06-01,5.5,5.96875,5.34375,5.75,3.9273223876953125,6578800,4.545454545454541
1994-07-01,5.75,5.75,4.90625,4.96875,3.393717050552368,3260400,-13.586956521739136
1994-08-01,4.9375,5.125,4.625,4.8125,3.2914834022521973,13588000,-3.1446540880503138
1994-09-01,4.78125,5.4375,4.78125,5.09375,3.4838452339172363,10965600,5.844155844155852
1994-10-01,5.09375,5.6875,4.96875,5.53125,3.783069133758545,5965200,8.588957055214719
1994-11-01,5.53125,5.5625,4.46875,4.53125,3.1037228107452393,9787200,-18.07909604519774
1994-12-01,4.53125,4.96875,4.34375,4.6875,3.210747241973877,8508400,3.4482758620689724
1995-01-01,4.75,4.8125,4.28125,4.4375,3.0395076274871826,5821600,-5.333333333333334
1995-02-01,4.4375,5.21875,4.4375,5.21875,3.5805182456970215,5550800,17.6056338028169
1995-03-01,5.1875,6.21875,5.125,6.15625,4.22372579574585,8335200,17.964071856287433
1995-04-01,6.15625,6.1875,5.53125,5.71875,3.9235618114471436,10608000,-7.106598984771573
1995-05-01,5.75,6.125,5.625,6.0625,4.164867877960205,6585200,6.0109289617486406
1995-06-01,6.0625,6.09375,5.0625,5.4375,3.7354979515075684,10372000,-10.309278350515461
1995-07-01,5.40625,5.46875,5.0,5.40625,3.7140321731567383,7202800,-0.5747126436781658
1995-08-01,5.375,5.84375,5.125,5.8125,3.9989380836486816,9137200,7.514450867052025
1995-09-01,5.84375,6.34375,5.4375,5.4375,3.7409403324127197,7002000,-6.451612903225811
1995-10-01,5.46875,5.6875,4.6875,5.0,3.439943790435791,11187600,-8.045977011494255
1995-11-01,5.0,5.4375,4.875,5.25,3.617020845413208,10563600,5.000000000000004
1995-12-01,5.25,6.21875,5.125,6.0,4.133736610412598,47517600,14.28571428571428
1996-01-01,6.0625,6.15625,5.59375,6.09375,4.198327541351318,22244000,1.5625
1996-02-01,6.125,7.125,6.03125,6.25,4.311394691467285,30524800,2.564102564102555
1996-03-01,6.25,6.65625,6.0,6.59375,4.548519134521484,24096800,5.499999999999994
1996-04-01,6.59375,7.15625,6.5,6.625,4.5700764656066895,22156000,0.4739336492890933
1996-05-01,6.625,6.75,6.09375,6.3125,4.359220027923584,20066000,-4.716981132075471
1996-06-01,6.3125,6.96875,5.96875,6.96875,4.812406063079834,31608000,10.396039603960405
1996-07-01,6.96875,7.65625,6.125,6.25,4.316059112548828,37516400,-10.313901345291477
1996-08-01,6.25,6.875,6.25,6.46875,4.471553802490234,12938400,3.499999999999992
1996-09-01,6.5,6.65625,5.71875,6.21875,4.298739910125732,26941600,-3.864734299516903
1996-10-01,6.25,6.53125,5.8125,6.4375,4.449954986572266,33596400,3.5175879396984966
1996-11-01,6.4375,7.09375,6.0,6.65625,4.6066389083862305,28322000,3.398058252427183
1996-12-01,6.6875,6.75,6.15625,6.3125,4.368739604949951,21973600,-5.164319248826288
1997-01-01,6.25,6.75,5.625,5.8125,4.022698402404785,48589600,-7.920792079207917
1997-02-01,5.875,5.875,4.96875,5.0625,3.5075907707214355,48270000,-12.903225806451612
1997-03-01,5.0,5.40625,5.0,5.1875,3.5941989421844482,19774000,2.4691358024691468
1997-04-01,5.1875,5.375,4.375,4.65625,3.226121187210083,27418000,-10.240963855421692
1997-05-01,4.6875,5.4375,4.65625,5.34375,3.708596706390381,21305200,14.76510067114094
1997-06-01,5.34375,5.34375,4.4375,4.53125,3.144716501235962,27579200,-15.204678362573098
1997-07-01,4.53125,5.15625,4.421875,5.09375,3.5350940227508545,43656000,12.413793103448278
1997-08-01,5.125,6.0625,5.0,6.03125,4.192666530609131,36170800,18.404907975460127
1997-09-01,6.0,6.265625,5.5625,5.5625,3.866811752319336,28361600,-7.772020725388606
1997-10-01,5.625,5.96875,4.9375,5.265625,3.660438060760498,39325200,-5.33707865168539
1997-11-01,5.28125,5.375,4.71875,4.765625,3.317258834838867,33360000,-9.495548961424326
1997-12-01,4.828125,5.375,4.625,5.296875,3.687049388885498,44638000,11.147540983606552
1998-01-01,5.265625,5.3125,4.640625,5.0,3.4804022312164307,26095600,-5.604719764011801
1998-02-01,5.03125,5.375,4.8125,5.34375,3.725465774536133,32802000,6.875000000000009
1998-03-01,5.375,6.03125,5.15625,5.734375,3.997795581817627,27475200,7.309941520467844
1998-04-01,5.6875,6.125,5.484375,5.84375,4.0740485191345215,41604400,1.9073569482288777
1998-05-01,5.8125,5.859375,4.875,5.078125,3.5447471141815186,32846800,-13.101604278074863
1998-06-01,5.03125,5.15625,4.53125,5.0625,3.5338408946990967,33514800,-0.3076923076923088
1998-07-01,5.125,5.171875,3.953125,3.96875,2.7703559398651123,45501200,-21.604938271604933
1998-08-01,4.03125,4.109375,3.21875,3.25,2.2722506523132324,32769600,-18.11023622047244
1998-09-01,3.25,4.6875,2.9375,4.375,3.0587985515594482,41358800,34.61538461538463
1998-10-01,4.375,4.515625,3.734375,4.171875,2.9167826175689697,38176400,-4.642857142857137
1998-11-01,4.140625,4.625,3.703125,3.75,2.6268117427825928,27660400,-10.1123595505618
1998-12-01,3.734375,4.40625,3.171875,4.3125,3.0208325386047363,78434800,14.999999999999991
1999-01-01,4.265625,4.609375,4.109375,4.3125,3.0273187160491943,42199600,0.0
1999-02-01,4.28125,4.34375,3.9375,4.125,2.9007225036621094,34918400,-4.347826086956519
1999-03-01,4.1875,4.578125,3.921875,4.15625,2.922698497772217,51835600,0.7575757575757569
1999-04-01,4.140625,4.90625,4.0,4.75,3.3402254581451416,44746800,14.28571428571428
1999-05-01,4.765625,4.9375,4.453125,4.765625,3.3571605682373047,44241600,0.328947368421062
1999-06-01,4.75,5.375,4.59375,5.0625,3.5662953853607178,30878000,6.229508196721301
1999-07-01,5.0,5.453125,4.8125,5.34375,3.7644240856170654,30200400,5.555555555555558
1999-08-01,5.34375,6.296875,5.21875,5.96875,4.2110819816589355,137615200,11.695906432748536
1999-09-01,6.0,6.34375,5.03125,5.3125,3.7480838298797607,62921200,-10.994764397905755
