Date,Open,High,Low,Close,Adj Close,Volume,returns
1985-01-01,0.0,17.8125,16.625,17.625,2.3036062717437744,1011400,
1985-02-01,0.0,17.625,16.625,16.6875,2.181072473526001,1624600,-5.319148936170215
1985-03-01,0.0,17.75,16.1875,17.625,2.3036062717437744,1226600,5.617977528089879
1985-04-01,0.0,18.625,17.1875,18.3125,2.393463373184204,1101000,3.900709219858145
1985-05-01,0.0,19.875,18.1875,19.375,2.5323326587677,1209400,5.802047781569963
1985-06-01,0.0,19.6875,19.25,19.625,2.5650079250335693,1115200,1.2903225806451646
1985-07-01,0.0,20.6875,17.25,17.625,2.3036062717437744,1190600,-10.191082802547768
1985-08-01,0.0,19.0625,17.625,18.125,2.3689560890197754,1350200,2.8368794326241176
1985-09-01,0.0,18.5,16.9375,17.5,2.2872674465179443,814600,-3.4482758620689613
1985-10-01,0.0,19.0625,17.5,19.0,2.4833199977874756,614600,8.571428571428562
1985-11-01,0.0,19.625,18.5625,19.625,2.5650079250335693,1121000,3.289473684210531
1985-12-01,0.0,20.6875,19.0,19.875,2.5976827144622803,1221000,1.273885350318471
1986-01-01,0.0,20.8125,19.8125,20.75,2.712045192718506,1382400,4.402515723270439
1986-02-01,0.0,22.8125,20.5625,22.25,2.9080982208251953,1153600,7.2289156626506035
1986-03-01,0.0,23.75,22.3125,23.6875,3.095980644226074,1582600,6.460674157303381
1986-04-01,0.0,25.0625,23.25,24.25,3.1695003509521484,1666200,2.37467018469657
1986-05-01,0.0,25.0625,24.0625,24.875,3.2511887550354004,1898000,2.577319587628857
1986-06-01,0.0,26.25,24.625,26.125,3.4145638942718506,1184800,5.025125628140703
1986-07-01,0.0,30.5625,26.25,30.0625,3.929199695587158,1860600,15.071770334928235
1986-08-01,0.0,32.5,30.0,30.3125,3.9618735313415527,1936600,0.8316008316008316
1986-09-01,0.0,30.875,25.0,26.5625,3.4717459678649902,2037200,-12.371134020618557
1986-10-01,0.0,28.9375,26.6875,28.875,3.7739930152893066,1254000,8.705882352941185
1986-11-01,0.0,30.0,28.5,28.8125,3.7658228874206543,1101400,-0.21645021645021467
1986-12-01,0.0,28.9375,26.875,27.1875,3.553434133529663,2557000,-5.639913232104121
1987-01-01,0.0,30.75,27.1875,29.375,3.892709255218506,1074800,8.045977011494255
1987-02-01,0.0,30.25,27.5,27.875,3.693932056427002,3812600,-5.106382978723401
1987-03-01,0.0,27.875,26.25,26.5625,3.572634696960449,1455400,-4.7085201793722
1987-04-01,0.0,26.9375,23.375,25.875,3.480168581008911,1649200,-2.5882352941176467
1987-05-01,0.0,26.625,24.0,26.0,3.4969778060913086,957200,0.48309178743961567
1987-06-01,0.0,26.5,24.25,25.625,3.4465420246124268,1259500,-1.4423076923076872
1987-07-01,0.0,26.125,24.125,24.75,3.3825860023498535,1379700,-3.4146341463414664
1987-08-01,0.0,27.375,24.125,26.0,3.5534236431121826,3360200,5.050505050505061
1987-09-01,26.0,27.75,23.75,24.75,3.4365227222442627,655500,-4.807692307692313
1987-10-01,24.875,25.875,20.0,23.875,3.3150317668914795,1410900,-3.535353535353536
1987-11-01,23.875,25.125,22.625,23.0,3.1935372352600098,1148500,-3.6649214659685847
1987-12-01,22.75,23.875,22.25,22.625,3.141467571258545,1218200,-1.6304347826086918
1988-01-01,22.5,27.0,22.5,26.25,3.7112786769866943,594600,16.022099447513803
1988-02-01,26.375,26.5,25.0,25.125,3.5522236824035645,505000,-4.285714285714281
1988-03-01,25.0,25.125,23.5,23.625,3.3963210582733154,722500,-5.970149253731338
1988-04-01,23.5,25.125,23.125,24.125,3.4681990146636963,462900,2.1164021164021163
1988-05-01,24.0,24.625,23.625,24.375,3.5041379928588867,5346500,1.0362694300518172
1988-06-01,24.375,25.125,24.0,24.375,3.5680649280548096,677700,0.0
1988-07-01,25.0,25.125,23.75,23.875,3.4948744773864746,510500,-2.051282051282055
1988-08-01,24.0,24.625,23.25,23.5,3.439983367919922,804400,-1.5706806282722474
1988-09-01,23.25,23.875,22.75,23.875,3.559316873550415,451800,1.5957446808510634
1988-10-01,23.625,24.375,23.375,23.875,3.559316873550415,822600,0.0
1988-11-01,23.875,24.125,22.75,22.875,3.410238027572632,746900,-4.188481675392675
1988-12-01,23.0,23.5,22.25,22.875,3.474148750305176,1284900,0.0
1989-01-01,22.75,23.875,22.5,22.625,3.4361770153045654,810500,-1.0928961748633892
1989-02-01,22.5,23.375,22.0,22.0,3.341254711151123,2034100,-2.7624309392265234
1989-03-01,22.125,22.75,21.625,22.0,3.407900333404541,837000,0.0
1989-04-01,22.0,22.75,21.75,22.5,3.485352039337158,975100,2.2727272727272707
