Date,Open,High,Low,Close,Adj Close,Volume,returns
2014-09-22,560.25,565.25,553.5,560.25,560.25,8050,
2014-09-23,558.5,563.25,553.5,562.0,562.0,9041,0.3123605533243978
2014-09-24,559.5,571.75,559.0,564.25,564.25,10686,0.40035587188611554
2014-09-25,563.25,566.25,555.0,564.25,564.25,8673,0.0
2014-09-26,563.5,565.0,559.25,563.75,563.75,5218,-0.08861320336730483
2014-09-29,559.5,569.0,559.5,566.5,566.5,6190,0.4878048780487809
2014-09-30,566.25,566.75,554.25,558.0,558.0,15449,-1.5004413062665534
2014-10-01,556.5,563.0,550.0,557.5,557.5,11728,-0.08960573476702871
2014-10-02,556.25,569.75,556.25,561.5,561.5,10448,0.7174887892376747
2014-10-03,562.5,570.75,560.5,568.0,568.0,10404,1.1576135351736516
2014-10-06,567.75,578.0,567.0,575.5,575.5,9988,1.3204225352112742
2014-10-07,575.0,595.75,573.5,588.25,588.25,15334,2.215464813205914
2014-10-08,588.25,592.0,582.0,586.5,586.5,8581,-0.2974925626859304
2014-10-09,586.0,588.25,571.0,572.75,572.75,9539,-2.3444160272804826
2014-10-10,572.0,587.5,568.0,577.75,577.75,12824,0.8729812309035356
2014-10-13,577.75,586.75,575.25,584.25,584.25,6261,1.1250540891388994
2014-10-14,584.25,591.0,582.0,590.25,590.25,7728,1.0269576379974277
2014-10-15,590.25,598.5,584.5,592.0,592.0,10510,0.2964845404489713
2014-10-16,592.25,606.5,590.75,605.0,605.0,13050,2.195945945945943
2014-10-17,605.25,614.75,600.75,601.75,601.75,14222,-0.537190082644623
2014-10-20,601.0,602.5,594.5,601.0,601.0,8354,-0.12463647694225255
2014-10-21,601.0,606.5,597.5,602.25,602.25,11008,0.2079866888519133
2014-10-22,603.0,612.0,599.25,605.25,605.25,10265,0.49813200498132204
2014-10-23,604.0,608.75,601.5,605.25,605.25,10363,0.0
2014-10-24,603.75,615.75,593.25,593.75,593.75,10790,-1.9000413052457699
2014-10-27,592.25,599.0,588.75,594.75,594.75,11337,0.16842105263157325
2014-10-28,596.5,604.75,595.25,602.0,602.0,8824,1.2189995796553221
2014-10-29,601.5,608.75,598.75,606.5,606.5,11277,0.7475083056478482
2014-10-30,606.0,611.75,599.5,602.0,602.0,12492,-0.7419620774938185
2014-10-31,601.25,603.5,587.0,593.75,593.75,18867,-1.370431893687707
2014-11-03,594.5,599.5,590.0,597.5,597.5,9014,0.6315789473684275
2014-11-04,597.75,598.0,589.0,590.25,590.25,7250,-1.2133891213389147
2014-11-05,591.75,592.0,579.75,584.5,584.5,11644,-0.9741634900465868
2014-11-06,584.5,586.5,578.5,579.0,579.0,9760,-0.9409751924721932
2014-11-07,580.0,580.0,567.5,569.25,569.25,16019,-1.6839378238341918
2014-11-10,570.0,577.0,565.25,573.0,573.0,18252,0.6587615283267567
2014-11-11,573.0,580.25,569.0,578.5,578.5,21520,0.9598603839441555
2014-11-12,578.5,602.5,577.5,599.25,599.25,26376,3.586862575626615
2014-11-13,599.25,610.0,594.0,605.25,605.25,22666,1.001251564455563
2014-11-14,605.0,612.5,599.75,605.5,605.5,12012,0.04130524576622108
2014-11-17,605.5,609.75,595.75,596.5,596.5,8083,-1.4863748967795187
2014-11-18,598.0,598.75,590.0,593.5,593.5,7656,-0.5029337803855838
2014-11-19,594.25,594.25,581.25,586.25,586.25,8606,-1.2215669755686553
2014-11-20,587.0,603.0,583.75,602.25,602.25,12982,2.729211087420036
2014-11-21,601.75,608.25,598.25,604.0,604.0,6988,0.2905770029057786
2014-11-24,603.75,607.5,600.0,604.25,604.25,8502,0.041390728476820016
2014-11-25,603.5,619.25,602.0,617.25,617.25,10048,2.151427389325611
2014-11-26,617.5,626.5,616.5,621.0,621.0,5591,0.6075334143377908
2014-11-28,618.5,640.0,618.5,637.0,637.0,876,2.5764895330112614
2014-12-01,633.25,660.5,633.25,660.25,660.25,539,3.6499215070643576
2014-12-02,663.0,663.25,648.75,648.75,648.75,372,-1.741764483150321
2014-12-03,638.5,638.5,630.25,631.75,631.75,449,-2.6204238921001877
2014-12-04,624.0,631.25,618.0,627.25,627.25,237,-0.7123070834982204
2014-12-05,628.75,634.25,628.75,632.5,632.5,41,0.8369868473495412
2014-12-08,638.5,643.25,633.0,634.0,634.0,31,0.2371541501976271
2014-12-09,629.0,629.5,615.0,617.0,617.0,37,-2.681388012618302
2014-12-10,615.0,615.0,610.0,614.75,614.75,30,-0.3646677471636939
2014-12-11,609.25,623.5,609.25,623.5,623.5,44,1.4233428222854894
2014-12-12,636.75,638.5,634.0,634.0,634.0,12386,1.6840417000801855
2014-12-15,633.5,651.5,630.25,647.0,647.0,13280,2.0504731861198833
2014-12-16,643.0,670.0,643.0,654.75,654.75,16776,1.1978361669242599
2014-12-17,653.0,682.75,649.75,681.5,681.5,19678,4.085528827796869
2014-12-18,678.0,705.75,677.5,683.75,683.75,19087,0.33015407190022383
2014-12-19,681.5,682.5,661.75,666.0,666.0,12492,-2.5959780621572226
2014-12-22,664.25,677.75,655.25,657.75,657.75,12461,-1.2387387387387427
2014-12-23,657.25,667.5,652.75,664.75,664.75,7450,1.0642341315089343
2014-12-24,666.0,667.75,638.0,644.0,644.0,6513,-3.1214742384355065
2014-12-26,646.0,649.25,642.25,644.25,644.25,2325,0.038819875776408
2014-12-29,645.0,654.75,642.5,647.5,647.5,6375,0.5044625533566105
2014-12-30,647.0,647.0,634.0,636.0,636.0,8903,-1.776061776061777
2014-12-31,635.0,638.75,621.5,626.5,626.5,8543,-1.4937106918239018
2015-01-02,627.0,628.0,610.0,617.0,617.0,9139,-1.5163607342378316
2015-01-05,615.5,633.0,615.25,624.75,624.75,10046,1.2560777957860703
2015-01-06,624.75,642.0,623.0,631.25,631.25,11931,1.0404161664665956
2015-01-07,633.5,634.0,619.25,620.0,620.0,9689,-1.7821782178217838
2015-01-08,620.75,620.75,605.75,607.75,607.75,12333,-1.9758064516129048
2015-01-09,608.0,612.5,598.0,600.5,600.5,10970,-1.1929247223364858
2015-01-12,599.75,602.25,590.0,590.5,590.5,18699,-1.6652789342214813
2015-01-13,590.25,600.25,580.75,581.75,581.75,14136,-1.4817950889077003
2015-01-14,582.25,583.25,571.5,575.0,575.0,14944,-1.160292221744741
2015-01-15,577.25,584.5,570.25,573.0,573.0,14485,-0.3478260869565264
2015-01-16,577.0,584.75,574.25,577.0,577.0,14508,0.698080279232105
2015-01-20,576.75,579.75,564.75,577.75,577.75,14515,0.12998266897747968
2015-01-21,578.0,583.25,570.75,572.25,572.25,14042,-0.9519688446559926
2015-01-22,570.25,578.25,564.0,564.75,564.75,13119,-1.3106159895150737
2015-01-23,564.0,566.75,560.25,564.0,564.0,15692,-0.13280212483399723
2015-01-26,564.0,567.5,553.5,554.5,554.5,13096,-1.6843971631205656
2015-01-27,555.0,556.5,549.0,550.25,550.25,11062,-0.7664562669071229
2015-01-28,549.25,550.75,534.5,535.75,535.75,15876,-2.63516583371195
2015-01-29,536.0,548.75,533.25,544.0,544.0,19434,1.5398973401773208
2015-01-30,544.0,549.5,536.25,540.25,540.25,18901,-0.6893382352941124
2015-02-02,539.0,543.25,533.0,534.5,534.5,13976,-1.0643220731142988
2015-02-03,534.5,559.75,534.5,559.0,559.0,18767,4.583723105706272
2015-02-04,560.0,564.75,550.0,552.75,552.75,17147,-1.1180679785330994
2015-02-05,551.75,566.5,549.5,564.0,564.0,17885,2.0352781546811416
2015-02-06,564.0,573.25,554.0,561.75,561.75,17050,-0.3989361702127714
2015-02-09,560.75,566.75,557.0,563.5,563.5,15650,0.31152647975076775
2015-02-10,561.75,563.5,552.75,554.0,554.0,18445,-1.685891748003554
2015-02-11,552.0,563.75,550.25,559.25,559.25,18336,0.9476534296028793
2015-02-12,557.0,559.5,552.0,554.0,554.0,17142,-0.938757264193113
2015-02-13,553.0,563.5,552.75,562.75,562.75,19170,1.5794223826714804
2015-02-17,564.0,582.25,560.75,562.25,562.25,20452,-0.08884940026654409
2015-02-18,564.0,570.0,546.75,548.0,548.0,14782,-2.5344597598932816
2015-02-19,548.75,553.0,543.75,544.5,544.5,11227,-0.6386861313868564
2015-02-20,543.25,547.25,532.0,533.25,533.25,13618,-2.066115702479343
2015-02-23,533.5,537.0,530.5,531.25,531.25,9969,-0.3750586029067082
