Date,Open,High,Low,Close,Adj Close,Volume,returns
1985-01-01,0.0,6.125,3.9375,5.9375,3.1591179370880127,7241200,
1985-02-01,0.0,6.0,5.125,5.25,2.793327569961548,3844800,-11.578947368421055
1985-03-01,0.0,5.375,4.375,4.6875,2.4940404891967773,5998000,-10.71428571428571
1985-04-01,0.0,4.6875,3.9375,4.34375,2.311145782470703,7692000,-7.333333333333336
1985-05-01,0.0,4.9375,4.25,4.25,2.261263847351074,6646400,-2.1582733812949617
1985-06-01,0.0,4.8125,3.875,4.6875,2.4940404891967773,10240800,10.294117647058831
1985-07-01,0.0,5.375,4.1875,5.0625,2.6935644149780273,8580000,8.000000000000007
1985-08-01,0.0,5.0625,4.625,4.6875,2.4940404891967773,3153200,-7.4074074074074066
1985-09-01,0.0,4.75,4.0,4.34375,2.311145782470703,5304800,-7.333333333333336
1985-10-01,0.0,4.9375,4.0625,4.90625,2.6104297637939453,10790400,12.949640287769792
1985-11-01,0.0,5.3125,4.375,5.1875,2.760072708129883,7698000,5.73248407643312
1985-12-01,0.0,5.8125,5.0625,5.75,3.059357166290283,6656400,10.843373493975905
1986-01-01,0.0,5.75,4.8125,5.625,2.9928507804870605,7083600,-2.1739130434782594
1986-02-01,0.0,6.25,5.1875,5.3125,2.8265819549560547,5035200,-5.555555555555558
1986-03-01,0.0,5.8125,5.0625,5.4375,2.8930885791778564,10988400,2.35294117647058
1986-04-01,0.0,6.5625,4.9375,6.0,3.192373037338257,8299600,10.344827586206895
1986-05-01,0.0,6.3125,5.375,5.5625,2.9595956802368164,10186800,-7.2916666666666625
1986-06-01,0.0,6.0625,4.4375,4.5,2.3942790031433105,9466400,-19.10112359550562
1986-07-01,0.0,4.625,3.9375,4.1875,2.228011131286621,6780400,-6.944444444444442
1986-08-01,0.0,4.5625,3.9375,4.5,2.3942790031433105,5188000,7.462686567164178
1986-09-01,0.0,4.5,3.1875,3.40625,1.8123371601104736,9032000,-24.305555555555557
1986-10-01,0.0,3.875,2.75,3.71875,1.97860586643219,7576400,9.174311926605494
