Date,Open,High,Low,Close,Adj Close,Volume,returns
1985-08-01,28.125,29.0,26.375,27.125,20.891000747680664,268300,
1985-09-01,27.25,27.375,24.0,25.5,19.63946533203125,184900,-5.990783410138246
1985-10-01,25.5,27.75,24.375,24.625,18.965564727783203,726000,-3.4313725490196068
1985-11-01,24.625,26.25,21.0,26.0,20.024553298950195,1188700,5.583756345177671
1985-12-01,26.0,27.0,25.625,27.0,20.794729232788086,948400,3.8461538461538547
1986-01-01,27.25,29.875,26.0,29.625,22.816434860229492,998700,9.722222222222232
1986-02-01,29.875,35.75,29.5,35.625,27.437488555908203,650900,20.253164556962023
1986-03-01,35.5,45.25,35.25,45.0,34.657875061035156,2002500,26.315789473684205
1986-04-01,45.25,45.5,36.75,37.75,29.074111938476562,947800,-16.11111111111111
1986-05-01,37.5,41.375,37.125,39.125,30.133098602294922,436100,3.6423841059602724
1986-06-01,39.125,39.375,31.0,34.75,26.763587951660156,1261700,-11.182108626198083
1986-07-01,34.25,36.25,30.5,31.75,24.45306396484375,854900,-8.633093525179858
1986-08-01,31.75,39.25,31.75,38.125,29.36292839050293,866700,20.078740157480325
1986-09-01,38.375,50.75,36.0,49.5,38.12367630004883,5942900,29.836065573770497
1986-10-01,49.375,49.625,42.0,46.0,35.42805862426758,5576100,-7.070707070707072
1986-11-01,46.375,46.875,44.75,46.375,35.71687698364258,2788500,0.8152173913043459
1986-12-01,46.375,46.75,45.0,45.625,35.13924026489258,269700,-1.6172506738544423
1987-01-01,45.75,46.75,45.75,46.625,35.909420013427734,226200,2.191780821917799
1987-02-01,46.75,47.375,46.75,47.0,36.1982307434082,413200,0.8042895442359255
1987-03-01,47.125,47.375,47.0,47.125,36.29450225830078,116400,0.26595744680850686
1987-04-01,47.125,47.375,47.125,47.125,36.29450225830078,251900,0.0
1987-05-01,47.0,47.75,46.0,47.5,36.58332061767578,226500,0.7957559681697646
1987-06-01,47.625,47.625,9.125,9.625,7.412936687469482,582900,-79.73684210526316
