Date,Open,High,Low,Close,Adj Close,Volume,returns
1993-05-01,2.40625,2.78125,2.3125,2.65625,2.65625,8468800,
1993-06-01,2.65625,3.125,2.65625,3.0,3.0,6668800,12.941176470588234
1993-07-01,3.0,3.03125,2.875,2.96875,2.96875,1297600,-1.041666666666663
1993-08-01,2.9375,3.0,2.875,2.9375,2.9375,3812800,-1.0526315789473717
1993-09-01,2.875,3.125,2.78125,2.90625,2.90625,4212800,-1.0638297872340385
1993-10-01,2.96875,4.0625,2.90625,3.84375,3.84375,3204000,32.258064516129025
1993-11-01,3.9375,3.96875,3.4375,3.4375,3.4375,1755200,-10.569105691056912
1993-12-01,3.53125,3.875,3.46875,3.625,3.625,1308000,5.454545454545445
1994-01-01,3.625,4.21875,3.5625,3.96875,3.96875,3380000,9.482758620689658
1994-02-01,3.96875,4.40625,3.625,3.75,3.75,4219200,-5.511811023622048
1994-03-01,3.75,3.75,3.40625,3.5,3.5,2700800,-6.666666666666665
1994-04-01,3.375,3.53125,3.0,3.125,3.125,3517600,-10.71428571428571
1994-05-01,3.1875,3.3125,2.90625,3.09375,3.09375,1748800,-1.0000000000000009
1994-06-01,3.1875,3.59375,3.09375,3.25,3.25,2603200,5.050505050505061
1994-07-01,3.28125,3.5,3.28125,3.375,3.375,689600,3.8461538461538547
1994-08-01,3.46875,3.46875,3.0625,3.234375,3.234375,1989600,-4.1666666666666625
1994-09-01,3.1875,3.25,3.03125,3.125,3.125,1316000,-3.3816425120772986
1994-10-01,3.125,3.40625,3.0625,3.1875,3.1875,1148000,2.0000000000000018
1994-11-01,3.1875,3.25,3.0625,3.0625,3.0625,1619200,-3.9215686274509776
1994-12-01,3.0625,3.125,3.0,3.09375,3.09375,1124000,1.0204081632652962
1995-01-01,3.0625,3.15625,2.9375,3.125,3.125,4424800,1.0101010101010166
1995-02-01,3.125,3.515625,2.875,3.3125,3.3125,7999200,6.000000000000005
1995-03-01,3.34375,3.40625,3.1875,3.234375,3.234375,2032000,-2.358490566037741
1995-04-01,3.28125,3.46875,3.1875,3.34375,3.34375,1344000,3.3816425120772875
1995-05-01,3.34375,3.375,3.09375,3.25,3.25,3110400,-2.8037383177570097
1995-06-01,3.34375,3.5625,3.3125,3.515625,3.515625,2802400,8.173076923076916
1995-07-01,3.5,3.65625,3.5,3.65625,3.65625,1521600,4.0000000000000036
1995-08-01,3.65625,3.71875,3.5625,3.625,3.625,2600800,-0.8547008547008517
1995-09-01,3.625,3.875,3.625,3.78125,3.78125,2083200,4.31034482758621
1995-10-01,3.78125,4.203125,3.71875,4.09375,4.09375,3264000,8.264462809917351
