Date,Open,High,Low,Close,Adj Close,Volume,returns
1985-01-01,16.375,16.875,16.0,16.75,3.5917725563049316,7040700,
1985-02-01,16.5,17.875,16.375,17.375,3.725795030593872,6161000,3.731343283582089
1985-03-01,17.25,17.625,16.5,17.625,3.779402256011963,10516100,1.4388489208633004
1985-04-01,17.5,18.5,17.375,18.375,3.9402265548706055,4580600,4.255319148936176
1985-05-01,18.25,19.875,17.875,19.625,4.208269119262695,6067600,6.802721088435382
1985-06-01,19.875,20.25,18.5,19.625,4.208269119262695,11824500,0.0
1985-07-01,19.625,20.0,17.875,18.25,4.006142616271973,8680000,-7.006369426751591
1985-08-01,18.25,19.0,17.375,18.75,4.115901470184326,4880200,2.7397260273972712
1985-09-01,18.875,19.25,17.25,17.625,3.868948221206665,9202400,-6.000000000000005
1985-10-01,17.625,18.75,17.375,18.5,4.160439968109131,7286400,4.964539007092195
1985-11-01,18.75,19.875,18.25,19.5,4.385331630706787,5779100,5.405405405405395
1985-12-01,19.375,20.375,19.25,20.0,4.497774600982666,14827200,2.564102564102555
1986-01-01,20.0,20.5,18.75,20.5,4.71875,10202300,2.499999999999991
1986-02-01,20.5,22.875,20.125,22.75,5.236661434173584,8522300,10.97560975609757
1986-03-01,22.625,23.625,20.75,22.625,5.207888603210449,17250500,-0.5494505494505475
1986-04-01,22.625,23.375,21.0,21.125,4.962404251098633,11099600,-6.629834254143652
1986-05-01,21.25,23.25,21.0,23.125,5.432218074798584,7726100,9.467455621301779
1986-06-01,23.25,23.25,21.25,22.875,5.373492240905762,12837300,-1.0810810810810811
1986-07-01,23.0,25.75,22.375,25.25,6.060688018798828,14331400,10.382513661202175
1986-08-01,25.25,27.5,24.125,27.25,6.54074764251709,13493400,7.920792079207928
1986-09-01,27.25,27.375,22.25,24.0,5.76065731048584,16351000,-11.926605504587151
1986-10-01,24.125,25.125,23.375,24.75,6.050793647766113,8169700,3.125
1986-11-01,24.875,25.625,23.75,25.375,6.203592300415039,7936900,2.5252525252525304
1986-12-01,25.25,26.125,23.75,24.25,5.928555965423584,23934300,-4.433497536945808
1987-01-01,24.375,27.875,24.25,26.875,6.696989059448242,11350700,10.824742268041243
1987-02-01,26.75,27.25,25.5,26.125,6.510099411010742,8672500,-2.7906976744186074
1987-03-01,26.125,27.0,23.875,24.125,6.011717319488525,16513500,-7.655502392344493
1987-04-01,22.5,22.75,19.875,21.25,5.395872592926025,23033600,-11.917098445595853
1987-05-01,21.0,21.5,19.125,20.75,5.26891565322876,13361400,-2.352941176470591
1987-06-01,20.875,21.375,19.5,20.125,5.1102142333984375,25855200,-3.0120481927710885
1987-07-01,20.0,20.25,19.0,19.25,5.00377893447876,10462800,-4.347826086956519
1987-08-01,19.125,20.875,19.0,20.375,5.296208381652832,14246200,5.844155844155852
1987-09-01,20.375,20.75,18.125,19.0,4.938795566558838,58491500,-6.748466257668717
1987-10-01,19.25,19.875,15.0,17.625,4.694766521453857,13439400,-7.236842105263152
1987-11-01,17.875,19.125,17.375,17.5,4.661469459533691,11836100,-0.7092198581560294
1987-12-01,17.5,17.875,15.75,16.25,4.328507900238037,66742900,-7.14285714285714
1988-01-01,16.25,17.875,15.875,17.75,4.86140251159668,11042100,9.23076923076922
1988-02-01,18.0,18.0,17.0,17.5,4.792932510375977,12215900,-1.4084507042253502
1988-03-01,17.5,17.5,15.125,16.0,4.382110118865967,51794200,-8.571428571428575
1988-04-01,15.875,16.0,14.25,14.875,4.194185256958008,12905800,-7.03125
1988-05-01,14.875,15.875,14.0,15.875,4.4761481285095215,9649400,6.72268907563025
1988-06-01,15.75,16.125,15.125,15.75,4.4409027099609375,120382400,-0.7874015748031482
1988-07-01,15.75,16.875,15.0,16.875,4.905267238616943,11795600,7.14285714285714
1988-08-01,16.875,17.0,15.875,16.875,4.905267238616943,8325200,0.0
1988-09-01,16.875,17.5,16.625,17.25,5.0142741203308105,23571300,2.2222222222222143
1988-10-01,17.125,17.875,16.625,17.875,5.304358005523682,11288200,3.6231884057970953
1988-11-01,17.75,18.125,17.375,18.0,5.341452121734619,11498900,0.6993006993007089
1988-12-01,18.0,18.375,17.375,17.5,5.19307804107666,16741400,-2.777777777777779
