Date,Open,High,Low,Close,Adj Close,Volume,returns
1985-01-01,15.125,18.0,14.9375,17.6875,1.8372610807418823,13205600,
1985-02-01,17.25,18.9375,17.25,18.9375,1.9671019315719604,11343600,7.067137809187285
1985-03-01,19.375,19.5625,17.25,18.125,1.8959176540374756,7429200,-4.290429042904287
1985-04-01,18.125,18.3125,16.0,17.5,1.8305405378341675,8231200,-3.4482758620689613
1985-05-01,17.625,18.875,16.8125,18.875,1.9743698835372925,6810800,7.857142857142851
1985-06-01,18.875,19.1875,17.375,18.625,1.964219331741333,6174200,-1.3245033112582738
1985-07-01,18.5,20.75,18.4375,20.5625,2.1685502529144287,10424800,10.402684563758392
1985-08-01,20.5,20.875,19.9375,20.4375,2.1553666591644287,7070000,-0.6079027355623046
1985-09-01,20.375,20.6875,17.875,18.1875,1.9313089847564697,6318800,-11.009174311926607
1985-10-01,18.3125,18.875,16.8125,17.5625,1.8649402856826782,6425200,-3.436426116838487
1985-11-01,17.5625,18.375,16.3125,18.0625,1.9180351495742798,9725600,2.8469750889679624
1985-12-01,18.0,19.0625,17.0625,17.875,1.9130040407180786,10665600,-1.038062283737029
1986-01-01,17.75,18.6875,15.6875,17.6875,1.8929373025894165,8296600,-1.0489510489510523
1986-02-01,17.75,20.0625,17.625,20.0,2.1404242515563965,10334400,13.07420494699647
1986-03-01,20.0,24.0,18.875,23.75,2.5606212615966797,15439000,18.75
1986-04-01,23.875,24.4375,21.6875,22.125,2.3854198455810547,10228200,-6.842105263157894
1986-05-01,22.125,23.875,22.125,23.4375,2.5269289016723633,8337000,5.932203389830515
1986-06-01,23.625,24.0,21.5,22.0,2.387181043624878,8715400,-6.133333333333335
1986-07-01,22.0,23.0,19.875,20.5,2.224419593811035,10332000,-6.818181818181824
1986-08-01,20.5,22.125,20.0,21.375,2.319361686706543,7995200,4.268292682926833
1986-09-01,21.4375,22.0,18.5,18.875,2.0625662803649902,11853600,-11.695906432748536
1986-10-01,19.0,21.625,18.6875,21.4375,2.342585325241089,9395000,13.576158940397342
1986-11-01,21.375,22.0625,20.125,21.6875,2.3699026107788086,9192600,1.1661807580174877
