Date,Open,High,Low,Close,Adj Close,Volume,returns
1985-01-01,4.25,4.859375,4.046875,4.75,2.3453421592712402,33967200,
1985-02-01,4.71875,5.484375,4.65625,5.234375,2.5845038890838623,30722400,10.197368421052634
1985-03-01,5.234375,5.71875,4.96875,5.671875,2.8005244731903076,40495200,8.358208955223878
1985-04-01,5.5,5.9375,5.40625,5.875,2.932814121246338,18419200,3.581267217630857
1985-05-01,5.875,6.5,5.765625,6.5,3.244814872741699,12843200,10.63829787234043
1985-06-01,6.53125,6.875,6.15625,6.875,3.432013750076294,14130400,5.769230769230771
1985-07-01,6.875,7.46875,6.625,7.046875,3.54905366897583,17815200,2.499999999999991
1985-08-01,7.015625,7.0625,6.375,6.65625,3.352320671081543,13273600,-5.543237250554323
1985-09-01,6.625,6.65625,5.625,5.75,2.8959028720855713,28925600,-13.6150234741784
1985-10-01,5.8125,6.15625,5.515625,6.140625,3.1200976371765137,17800000,6.7934782608695565
1985-11-01,6.140625,6.390625,6.09375,6.296875,3.1994898319244385,15376800,2.5445292620865034
1985-12-01,6.265625,6.46875,5.9375,6.125,3.1121582984924316,19849600,-2.7295285359801524
1986-01-01,6.09375,6.921875,6.078125,6.875,3.5247230529785156,19016800,12.244897959183664
1986-02-01,6.875,7.484375,6.703125,7.484375,3.8371453285217285,14120800,8.863636363636363
1986-03-01,7.484375,8.125,7.0625,8.09375,4.149562835693359,19883200,8.141962421711902
1986-04-01,8.09375,8.15625,7.3125,7.34375,3.794943332672119,21720000,-9.26640926640927
1986-05-01,7.3125,7.578125,6.96875,7.46875,3.8595385551452637,25123200,1.7021276595744705
1986-06-01,7.453125,7.46875,7.046875,7.125,3.681901216506958,19397600,-4.602510460251041
1986-07-01,7.09375,7.15625,6.28125,6.5,3.3850791454315186,24613600,-8.771929824561408
1986-08-01,6.484375,7.375,6.421875,7.375,3.8407633304595947,17392000,13.461538461538458
1986-09-01,7.375,7.46875,6.515625,6.890625,3.5885074138641357,18088800,-6.567796610169497
1986-10-01,6.90625,7.5625,6.875,7.5,3.9359421730041504,20699200,8.843537414965997
1986-11-01,7.5,8.625,7.421875,8.421875,4.419737339019775,46972800,12.291666666666657
1986-12-01,8.484375,8.75,7.84375,7.875,4.1327409744262695,37509600,-6.493506493506496
1987-01-01,7.890625,8.640625,7.78125,7.859375,4.152908802032471,28369600,-0.1984126984126977
1987-02-01,7.8125,8.375,7.75,8.296875,4.3840837478637695,26072800,5.566600397614319
1987-03-01,8.296875,8.984375,7.90625,8.546875,4.516186714172363,31731200,3.0131826741996326
1987-04-01,8.484375,8.8125,7.625,7.75,4.124001979827881,22164000,-9.323583180987205
1987-05-01,7.78125,8.09375,7.125,7.25,3.857933282852173,34184000,-6.451612903225811
1987-06-01,7.15625,7.71875,7.15625,7.59375,4.040853500366211,29951600,4.741379310344818
1987-07-01,7.625,9.9375,7.53125,8.90625,4.780128479003906,67174000,17.28395061728396
1987-08-01,8.875,9.21875,8.40625,8.5625,4.595632553100586,44863600,-3.8596491228070184
1987-09-01,8.53125,8.84375,7.8125,8.4375,4.528544902801514,28635600,-1.4598540145985384
1987-10-01,8.46875,8.53125,4.3125,5.53125,2.9910335540771484,46206000,-34.44444444444444
1987-11-01,5.5,6.1875,4.875,5.03125,2.7206575870513916,22720000,-9.039548022598876
1987-12-01,5.15625,5.65625,4.8125,5.65625,3.0586278438568115,29043600,12.422360248447205
1988-01-01,5.5625,6.09375,5.15625,5.84375,3.199516773223877,25583200,3.3149171270718147
1988-02-01,6.0,6.25,5.75,6.125,3.353506565093994,14530800,4.8128342245989275
1988-03-01,6.125,7.5,5.6875,6.5,3.5588219165802,36106000,6.1224489795918435
1988-04-01,6.4375,6.84375,5.90625,6.40625,3.544222354888916,23107200,-1.4423076923076872
1988-05-01,6.3125,6.375,5.6875,5.8125,3.215731143951416,18586800,-9.268292682926827
1988-06-01,5.875,6.4375,5.625,6.0,3.319464683532715,36919200,3.2258064516129004
1988-07-01,6.0625,6.53125,5.90625,6.0625,3.3895363807678223,16362400,1.041666666666674
1988-08-01,6.0625,6.4375,5.5625,6.28125,3.5118374824523926,23732800,3.6082474226804218
1988-09-01,6.28125,6.59375,6.09375,6.53125,3.6516122817993164,20604800,3.9800995024875663
1988-10-01,6.5,6.90625,5.9375,6.15625,3.4774346351623535,19332800,-5.741626794258369
1988-11-01,6.21875,6.46875,5.75,5.875,3.318568706512451,12053200,-4.5685279187817285
1988-12-01,5.875,6.1875,5.75,5.9375,3.3538713455200195,18545200,1.0638297872340496
1989-01-01,5.9375,6.5625,5.8125,6.5625,3.745934247970581,16557600,10.526315789473696
1989-02-01,6.59375,7.03125,6.5,6.75,3.852956771850586,21852400,2.857142857142847
1989-03-01,6.78125,7.25,6.625,6.75,3.852956771850586,19308800,0.0
1989-04-01,6.78125,7.03125,6.6875,6.71875,3.86905837059021,12865600,-0.462962962962965
1989-05-01,6.78125,6.90625,6.40625,6.84375,3.9410436153411865,14840000,1.8604651162790642
1989-06-01,6.875,6.96875,6.28125,6.40625,3.689103841781616,13638800,-6.392694063926941
1989-07-01,6.375,7.09375,6.34375,6.875,3.99519419670105,11744800,7.317073170731714
1989-08-01,6.9375,7.34375,6.5,6.90625,4.013352870941162,17642400,0.454545454545463
1989-09-01,6.90625,7.125,6.4375,6.75,3.9225518703460693,16276400,-2.26244343891403
1989-10-01,6.8125,6.96875,6.0625,6.28125,3.684753894805908,13454800,-6.944444444444442
1989-11-01,6.25,6.28125,5.65625,6.25,3.6664199829101562,14285600,-0.497512437810943
1989-12-01,6.21875,6.40625,5.78125,6.15625,3.6114206314086914,13215200,-1.5000000000000013
1990-01-01,6.15625,6.28125,5.25,5.375,3.186664342880249,13523200,-12.690355329949243
1990-02-01,5.375,5.9375,5.28125,5.78125,3.4275174140930176,8677200,7.558139534883712
1990-03-01,5.78125,6.3125,5.53125,5.65625,3.353409767150879,13998800,-2.1621621621621623
1990-04-01,5.5625,6.125,5.5,6.0,3.5948500633239746,14030400,6.077348066298338
1990-05-01,6.0625,6.21875,5.8125,6.125,3.669743061065674,13556400,2.083333333333326
1990-06-01,6.125,6.15625,5.875,5.9375,3.557401657104492,10902400,-3.0612244897959218
1990-07-01,5.9375,6.125,5.5625,5.6875,3.443300485610962,10202400,-4.210526315789476
1990-08-01,5.65625,5.75,4.6875,5.03125,3.0459959506988525,13644800,-11.538461538461542
1990-09-01,5.0,5.59375,5.0,5.125,3.102752923965454,10310800,1.8633540372670732
1990-10-01,5.1875,5.75,4.8125,5.59375,3.4271016120910645,13029200,9.146341463414643
1990-11-01,5.5625,6.1875,5.5,6.0625,3.714287281036377,10310800,8.379888268156432
1990-12-01,6.09375,6.90625,6.03125,6.84375,4.192930698394775,12441600,12.886597938144329
1991-01-01,6.8125,6.96875,6.0625,6.96875,4.313304901123047,12499200,1.82648401826484
1991-02-01,7.0,7.84375,6.9375,7.34375,4.54541015625,17786000,5.3811659192825045
1991-03-01,7.3125,7.96875,7.25,7.8125,4.835543632507324,16298000,6.382978723404253
1991-04-01,7.71875,7.96875,7.25,7.96875,4.9728498458862305,14302400,2.0000000000000018
1991-05-01,7.90625,8.78125,7.8125,8.75,5.460383415222168,12965600,9.80392156862746
1991-06-01,8.6875,8.75,7.625,8.03125,5.011850357055664,10324400,-8.214285714285719
1991-07-01,8.09375,8.4375,7.53125,8.34375,5.246763229370117,10238000,3.891050583657596
1991-08-01,8.28125,8.5625,7.9375,8.34375,5.246763229370117,12485200,0.0
1991-09-01,8.375,8.96875,8.21875,8.75,5.502224445343018,14510800,4.868913857677892
1991-10-01,8.75,9.53125,8.375,9.21875,5.840737819671631,13934000,5.35714285714286
1991-11-01,9.25,10.0625,8.90625,9.21875,5.840737819671631,11740800,0.0
1991-12-01,9.125,10.0,9.0625,9.90625,6.276317596435547,11963600,7.457627118644061
1992-01-01,9.78125,9.96875,9.03125,9.09375,5.805327415466309,17281200,-8.2018927444795
1992-02-01,9.09375,9.375,8.59375,9.0625,5.785375118255615,14432400,-0.3436426116838476
1992-03-01,9.03125,9.53125,8.96875,9.09375,5.805327415466309,12072400,0.34482758620688614
1992-04-01,9.03125,9.15625,8.40625,9.03125,5.80924129486084,11404400,-0.6872852233676952
1992-05-01,9.03125,9.53125,8.65625,8.96875,5.769038677215576,9952000,-0.692041522491349
1992-06-01,8.875,9.53125,8.625,9.34375,6.010252475738525,11479200,4.181184668989557
1992-07-01,9.375,9.96875,9.375,9.71875,6.3015217781066895,11796400,4.013377926421402
1992-08-01,9.75,9.8125,9.125,9.125,5.916540145874023,5708000,-6.109324758842439
1992-09-01,9.15625,9.46875,8.78125,9.0,5.8354949951171875,7178800,-1.3698630136986356
1992-10-01,9.0625,9.40625,8.6875,9.34375,6.104106426239014,10818400,3.819444444444442
1992-11-01,9.34375,10.71875,9.3125,10.625,6.941123962402344,12064000,13.712374581939791
1992-12-01,10.625,11.21875,9.96875,11.1875,7.308593273162842,16221200,5.294117647058827
1993-01-01,11.125,11.21875,10.09375,10.9375,7.191833019256592,12839600,-2.2346368715083775
1993-02-01,11.0,11.1875,10.28125,10.90625,7.171285152435303,11951200,-0.28571428571428914
1993-03-01,10.875,11.875,10.5625,11.8125,7.767179489135742,16256400,8.309455587392556
1993-04-01,11.9375,12.40625,11.46875,11.75,7.781865119934082,12514800,-0.5291005291005346
1993-05-01,11.78125,13.0625,11.6875,13.0625,8.651110649108887,12580000,11.170212765957444
1993-06-01,13.0625,14.125,12.6875,14.03125,9.292703628540039,14206800,7.416267942583743
1993-07-01,14.125,14.125,12.75,13.21875,8.805143356323242,10486400,-5.790645879732736
1993-08-01,13.28125,14.71875,13.28125,14.28125,9.512886047363281,16223200,8.037825059101644
1993-09-01,14.28125,14.65625,13.78125,14.53125,9.679413795471191,14120000,1.7505470459518557
1993-10-01,14.625,14.625,13.5,13.96875,9.3546142578125,15124000,-3.8709677419354827
1993-11-01,13.9375,14.28125,13.0,13.78125,9.229047775268555,14696800,-1.342281879194629
1993-12-01,13.71875,14.6875,13.40625,14.5625,9.75224494934082,12810800,5.668934240362811
1994-01-01,14.5,15.0,14.4375,14.78125,9.954838752746582,12478800,1.5021459227467782
1994-02-01,14.8125,15.15625,14.375,14.5,9.765425682067871,12890000,-1.9027484143763207
1994-03-01,14.46875,14.5625,13.4375,13.5,9.09194564819336,16013600,-6.896551724137934
1994-04-01,13.3125,13.6875,12.6875,13.1875,8.935879707336426,12304000,-2.314814814814814
1994-05-01,13.125,14.0625,12.875,14.0,9.486433029174805,13420000,6.161137440758302
1994-06-01,13.9375,14.1875,12.96875,13.09375,8.872358322143555,9556800,-6.47321428571429
1994-07-01,13.28125,13.59375,12.90625,13.3125,9.078092575073242,8372800,1.670644391408116
1994-08-01,13.25,14.125,12.9375,13.8125,9.419049263000488,10553200,3.7558685446009488
1994-09-01,13.78125,13.84375,12.5625,12.71875,8.673195838928223,10504400,-7.918552036199101
1994-10-01,12.71875,12.96875,11.8125,12.75,8.750575065612793,21058400,0.24570024570025328
1994-11-01,12.75,13.125,11.625,11.75,8.064254760742188,16249600,-7.843137254901967
1994-12-01,11.8125,12.71875,11.8125,12.59375,8.64333724975586,14682000,7.180851063829796
1995-01-01,12.625,13.0625,12.15625,12.90625,8.921539306640625,12992400,2.481389578163773
1995-02-01,13.03125,13.75,12.75,13.6875,9.46158218383789,11526400,6.0532687651331685
1995-03-01,13.71875,14.28125,13.1875,14.15625,9.785611152648926,12487200,3.424657534246567
1995-04-01,14.09375,14.5,14.0,14.25,9.9222412109375,7720000,0.6622516556291425
1995-05-01,14.21875,15.21875,14.03125,15.21875,10.596776008605957,14028800,6.798245614035081
1995-06-01,15.15625,15.25,14.3125,14.53125,10.11807632446289,14973200,-4.517453798767967
1995-07-01,14.5625,16.65625,14.46875,16.65625,11.67280101776123,21082000,14.623655913978496
1995-08-01,16.65625,17.3125,16.5,17.125,12.001298904418945,14842800,2.814258911819878
1995-09-01,17.15625,17.53125,16.625,17.0625,11.957499504089355,11161200,-0.36496350364964014
1995-10-01,17.125,17.5,16.375,17.1875,12.113199234008789,13114800,0.73260073260073
1995-11-01,17.21875,19.34375,17.15625,19.15625,13.500706672668457,14728400,11.45454545454545
1995-12-01,19.0625,19.25,16.875,16.875,11.892955780029297,14978400,-11.908646003262646
1996-01-01,17.28125,19.65625,17.28125,19.65625,13.925267219543457,20412000,16.481481481481474
1996-02-01,19.46875,20.5,19.25,19.6875,13.947399139404297,14358800,0.15898251192367763
1996-03-01,19.78125,21.4375,19.5,20.0,14.168792724609375,15238400,1.5873015873015817
1996-04-01,20.1875,22.25,20.1875,21.4375,15.270773887634277,18698400,7.187499999999991
1996-05-01,21.40625,21.8125,20.4375,21.1875,15.092687606811523,15602400,-1.1661807580174877
1996-06-01,21.0,21.21875,19.25,19.96875,14.224518775939941,15659600,-5.752212389380529
1996-07-01,19.96875,20.15625,18.25,20.0,14.323524475097656,21952400,0.15649452269170805
1996-08-01,19.9375,21.96875,19.9375,21.34375,15.285879135131836,11917600,6.718749999999996
1996-09-01,21.21875,21.71875,20.6875,21.25,15.218745231628418,14224400,-0.43923865300146137
1996-10-01,21.3125,22.71875,21.21875,22.1875,15.971623420715332,13757600,4.4117647058823595
1996-11-01,22.25,24.4375,21.84375,23.84375,17.163883209228516,12208400,7.464788732394356
1996-12-01,23.53125,24.0,22.03125,23.5625,16.961427688598633,13966400,-1.1795543905635641
1997-01-01,23.53125,24.9375,22.5,24.34375,17.60578727722168,15274400,3.3156498673740042
1997-02-01,24.28125,26.0,23.46875,24.65625,17.83177947998047,15023200,1.2836970474968012
1997-03-01,24.65625,26.8125,24.5,26.25,18.984405517578125,15528000,6.4638783269961975
1997-04-01,26.15625,28.0,24.84375,27.84375,20.23526954650879,19194800,6.071428571428572
1997-05-01,27.78125,29.65625,27.65625,29.625,21.5297794342041,14974800,6.3973063973064015
1997-06-01,29.6875,33.84375,28.75,33.1875,24.118810653686523,14958200,12.0253164556962
1997-07-01,33.8125,35.09375,32.53125,35.03125,25.563501358032227,17578200,5.555555555555558
1997-08-01,35.21875,35.375,29.75,31.15625,22.73578453063965,13639200,-11.061552185548617
1997-09-01,31.15625,34.46875,31.0,32.5,23.71636390686035,12972400,4.312938816449341
1997-10-01,32.53125,33.28125,27.0,28.90625,21.174015045166016,15448600,-11.057692307692314
1997-11-01,29.375,30.375,27.59375,29.5625,21.65472412109375,17067200,2.2702702702702693
