Date,Open,High,Low,Close,Adj Close,Volume,returns
2014-09-22,337.25,337.75,336.25,336.5,336.5,533,
2014-09-23,336.5,336.5,331.25,332.75,332.75,385,-1.1144130757800852
2014-09-24,332.25,342.5,330.75,340.5,340.5,437,2.3290758827948954
2014-09-25,340.0,340.0,330.25,331.25,331.25,591,-2.7165932452276054
2014-09-26,332.5,334.5,328.0,328.75,328.75,500,-0.7547169811320753
2014-09-29,326.0,336.25,326.0,334.0,334.0,405,1.59695817490495
2014-09-30,333.5,339.75,329.0,335.5,335.5,552,0.44910179640718084
2014-10-01,334.0,347.25,331.0,338.75,338.75,1147,0.9687034277198192
2014-10-02,340.5,346.75,335.0,344.5,344.5,1067,1.697416974169741
2014-10-03,344.5,346.75,340.25,342.25,342.25,329,-0.6531204644412147
2014-10-06,344.0,352.0,343.25,350.5,350.5,340,2.4105186267348477
2014-10-07,348.25,356.0,348.25,351.25,351.25,372,0.21398002853068032
2014-10-08,350.0,352.5,342.75,343.25,343.25,440,-2.2775800711743788
2014-10-09,344.0,345.25,342.75,343.75,343.75,204,0.1456664238892902
2014-10-10,342.75,348.5,342.5,342.75,342.75,163,-0.2909090909090861
2014-10-13,343.25,345.75,338.75,344.75,344.75,327,0.5835156819839593
2014-10-14,344.5,346.75,343.25,345.25,345.25,195,0.14503263234226793
2014-10-15,345.0,348.0,341.25,343.5,343.5,318,-0.5068790731354134
2014-10-16,343.5,348.0,342.0,347.0,347.0,171,1.0189228529839944
2014-10-17,346.5,350.5,344.75,347.75,347.75,270,0.2161383285302687
2014-10-20,345.75,351.0,341.5,350.5,350.5,150,0.7907979870596771
2014-10-21,348.0,355.0,342.25,351.0,351.0,491,0.14265335235377208
2014-10-22,351.25,356.0,349.5,354.0,354.0,340,0.8547008547008517
2014-10-23,353.75,365.75,353.75,360.5,360.5,851,1.836158192090398
2014-10-24,360.5,372.5,351.0,351.75,351.75,688,-2.4271844660194164
2014-10-27,354.0,361.0,353.0,360.5,360.5,254,2.487562189054726
2014-10-28,358.5,368.5,352.5,356.0,356.0,534,-1.2482662968099856
2014-10-29,355.0,359.25,349.25,350.5,350.5,596,-1.54494382022472
2014-10-30,350.5,353.0,338.0,338.5,338.5,1196,-3.4236804564907297
2014-10-31,339.0,339.0,335.5,336.25,336.25,952,-0.6646971935007406
2014-11-03,335.25,347.75,334.75,347.25,347.25,1047,3.271375464684012
2014-11-04,345.25,348.5,342.25,342.5,342.5,270,-1.367890568754504
2014-11-05,342.0,346.75,339.25,340.5,340.5,440,-0.5839416058394109
2014-11-06,341.0,342.5,332.5,335.75,335.75,821,-1.3950073421439058
2014-11-07,336.25,339.75,335.0,338.75,338.75,779,0.8935219657483229
2014-11-10,340.0,340.0,335.25,336.0,336.0,712,-0.8118081180811809
2014-11-11,335.75,337.5,334.0,336.0,336.0,459,0.0
2014-11-12,336.75,339.5,336.75,338.0,338.0,408,0.5952380952380931
2014-11-13,340.0,344.5,337.0,338.75,338.75,571,0.22189349112426981
2014-11-14,338.25,341.5,337.5,339.5,339.5,183,0.22140221402213722
2014-11-17,341.75,343.0,339.0,339.5,339.5,168,0.0
2014-11-18,339.5,339.5,333.0,334.0,334.0,607,-1.6200294550810068
2014-11-19,334.0,335.0,325.0,326.5,326.5,643,-2.2455089820359264
2014-11-20,326.5,329.0,325.0,325.75,325.75,287,-0.22970903522204766
2014-11-21,329.25,329.25,323.5,326.75,326.75,304,0.3069838833461347
2014-11-24,324.0,324.0,305.25,305.5,305.5,1154,-6.5034429992348874
2014-11-25,305.5,307.0,291.75,299.0,299.0,1209,-2.127659574468088
2014-11-26,299.0,301.5,291.5,295.0,295.0,509,-1.3377926421404673
2014-11-28,297.0,297.5,289.0,294.5,294.5,38,-0.16949152542372614
2014-12-01,290.25,295.75,290.25,295.75,295.75,51,0.4244482173174857
2014-12-02,298.25,298.25,295.75,296.0,296.0,4,0.08453085376163294
2014-12-03,301.0,301.0,294.75,295.25,295.25,11,-0.2533783783783772
2014-12-04,296.0,301.0,296.0,298.75,298.75,10,1.1854360711261558
2014-12-05,303.0,308.0,299.5,299.5,299.5,4,0.2510460251045954
2014-12-08,326.0,326.0,304.75,304.75,304.75,4,1.7529215358931483
2014-12-09,314.5,314.75,301.0,301.0,301.0,7,-1.2305168170631653
2014-12-10,304.5,304.5,304.5,304.5,304.5,7,1.1627906976744207
2014-12-11,304.75,304.75,304.75,304.75,304.75,7,0.08210180623973162
2014-12-12,300.75,300.75,300.75,300.75,300.75,266,-1.312551271534046
2014-12-15,312.5,313.75,310.0,313.75,313.75,241,4.322527015793853
2014-12-16,313.75,315.5,312.5,314.0,314.0,171,0.07968127490038945
2014-12-17,315.0,317.0,311.25,315.0,315.0,158,0.31847133757962887
2014-12-18,316.5,318.0,315.25,316.25,316.25,465,0.3968253968253954
2014-12-19,316.0,317.0,304.25,310.5,310.5,301,-1.8181818181818188
2014-12-22,306.75,311.75,306.75,309.75,309.75,116,-0.24154589371980784
2014-12-23,309.0,315.0,308.75,309.0,309.0,174,-0.2421307506053294
2014-12-24,309.75,309.75,306.0,307.75,307.75,124,-0.4045307443365731
2014-12-26,307.75,309.5,305.0,306.0,306.0,130,-0.5686433793663737
2014-12-29,305.0,308.75,302.25,303.25,303.25,207,-0.8986928104575131
2014-12-30,302.25,308.5,302.25,305.0,305.0,268,0.577081615828523
