Ticker,Description,Sector
ES=F,E-Mini S&P 500,Financials
YM=F,Mini Dow Jones Indus,Financials
NQ=F,Nasdaq 100,Financials
RTY=F,E-mini Russell 2000 Index,Financials
ZB=F,U.S. Treasury Bond,Financials
ZN=F,10-Year T-Note,Financials
ZF=F,Five-Year US Treasury,Financials
ZT=F,2-Year T-Note,Financials
GC=F,Gold,Materials
MGC=F,Micro Gold,Materials
SI=F,Silver,Materials
SIL=F,Micro Silver,Materials
PL=F,Platinum,Materials
HG=F,Copper,Materials
PA=F,Palladium,Materials
CL=F,Crude Oil,Energy
HO=F,Heating Oil,Energy
NG=F,Natural Gas,Energy
RB=F,RBOB Gasoline,Energy
BZ=F,Crude Oil ,Energy
B0=F,Propane,Energy
ZC=F,Corn,Consumer Staples
ZO=F,Oat,Consumer Staples
KE=F,Wheat,Consumer Staples
ZR=F,Rough Rice,Consumer Staples
ZM=F,Soybean Meal,Consumer Staples
ZL=F,Soybean Oil,Consumer Staples
ZS=F,Soybean,Consumer Staples
GF=F,Feeder Cattle,Consumer Staples
HE=F,Lean Hogs,Consumer Staples
LE=F,Live Cattle,Consumer Staples
CC=F,Cocoa,Consumer Staples
KC=F,Coffee,Consumer Staples
CT=F,Cotton,Materials
LBS=F,Lumber,Materials
OJ=F,Orange Juice,Consumer Staples
SB=F,Sugar,Consumer Staples
